#{"t_start": 1657636542.6587317, "env_id": null}
r,l,t
-1,713,227.530536
-1,753,228.011091
2,702,229.941137
3,624,230.31948
3,545,230.657688
-1,827,232.65095
-3,608,233.035326
1,760,233.499936
-2,634,235.328385
-3,544,235.669971
1,768,236.160437
1,691,238.003371
-4,480,238.30008
-1,753,238.765713
2,723,240.696913
2,683,241.119648
-1,739,241.574044
1,796,243.513002
-2,627,243.905217
-5,389,244.154539
5,460,244.449817
-2,643,246.231545
2,650,246.637054
-1,752,247.107716
2,648,248.98019
3,559,249.324365
-1,761,249.792833
-1,786,251.710344
-3,600,252.09221
-2,647,252.515142
-2,827,254.435126
2,710,254.875834
-1,751,256.843703
-1,769,257.354129
2,682,257.779371
5,446,258.051853
-2,591,259.857966
1,769,260.341024
-1,719,260.800706
-4,519,262.53042
4,443,262.81164
-3,695,263.241808
1,742,265.183953
-2,689,265.616769
3,560,265.96265
3,580,267.698881
4,476,268.044044
2,680,268.477558
-4,470,268.781422
-2,704,270.668456
-2,625,271.060714
-1,769,271.54287
2,640,273.366151
1,874,273.904067
-2,616,274.281446
-3,609,276.101333
4,572,276.465188
4,484,276.779248
4,467,277.062755
2,633,278.84818
2,711,279.297299
4,480,279.598217
1,731,281.496965
1,783,281.986363
-2,618,282.366011
-2,608,284.151818
1,673,284.59249
-1,737,285.053926
2,638,286.843686
-2,639,287.253112
1,708,287.702508
-2,743,289.643773
3,600,290.013666
-3,551,290.350862
2,667,292.15136
2,653,292.601809
3,589,292.97859
-3,654,293.378217
4,467,295.108914
-1,795,295.615843
2,674,296.044826
-1,799,297.933344
4,556,298.66576
-2,631,298.99976
2,643,299.344664
-3,547,299.63427
2,655,299.986165
3,581,300.301705
3,533,300.587456
-1,715,300.975771
-4,511,301.24087
2,664,301.577641
2,740,301.952991
-4,534,302.229398
3,587,302.534384
-1,699,302.908621
-4,472,303.159755
-3,587,303.466946
2,615,303.796495
5,496,304.062307
-3,621,304.394093
2,702,304.776954
4,513,305.039896
-1,731,305.453025
1,734,305.861945
2,670,306.297089
-3,548,306.583509
2,740,306.98134
-3,606,307.295312
-1,720,307.668349
5,381,307.866313
3,538,308.146313
1,714,308.518313
1,735,308.906333
5,369,309.095357
-5,392,309.295341
1,756,309.68334
-2,661,310.01934
-2,667,310.361314
-3,567,310.651348
4,468,310.896317
5,374,311.091315
-1,699,311.458313
-3,664,311.804316
1,780,312.213316
-3,562,312.514341
2,617,312.844348
-3,619,313.160349
2,675,313.502341
3,597,313.808312
1,775,314.20434
-2,721,314.57834
3,564,314.86835
3,573,315.164342
-2,683,315.527341
-1,739,315.91134
-2,664,316.274314
-4,497,316.535341
-3,615,316.861341
2,614,317.17134
-3,578,317.473323
1,696,317.826341
-2,626,318.14335
-1,791,318.561351
2,641,318.892356
-1,748,319.281345
2,638,319.619349
-3,570,319.98134
1,714,320.360315
4,479,320.616348
2,666,320.96734
-1,740,321.349351
-5,410,321.55934
3,584,321.85435
-2,684,322.20434
-2,637,322.535349
-3,588,322.838349
1,810,323.26035
3,546,323.54535
4,548,323.832341
2,633,324.171346
4,602,324.488348
3,604,324.809341
-1,807,325.227342
-4,477,325.469316
3,663,325.811312
-1,695,326.166341
-3,562,326.452342
2,740,326.83434
-1,770,327.245348
-3,583,327.547341
-2,612,327.867348
-4,511,328.134349
-1,821,328.571341
2,667,328.919341
-2,682,329.268316
2,607,329.577317
-5,428,329.79434
-3,555,330.081341
1,776,330.47734
2,678,330.826341
4,457,331.063341
2,704,331.610496
1,828,333.618685
-1,847,334.141676
3,598,335.842643
4,601,336.2467
