#{"t_start": 1657919001.3749137, "env_id": null}
r,l,t
1,757,0.700242
-1,776,1.24901
-3,619,1.901041
2,676,2.325029
-5,404,2.594081
-1,743,3.078052
3,583,6.45608
-4,504,6.758088
2,655,7.151088
3,558,7.479092
2,701,7.895089
1,728,8.324088
4,493,11.552124
4,481,11.956155
-2,629,12.330153
5,419,12.581204
-5,434,12.901164
4,533,13.311167
2,739,14.250431
3,584,14.654431
4,532,19.257067
-1,764,20.073077
-3,571,20.511074
5,455,20.793098
-2,780,21.387099
-1,747,21.851098
2,680,25.709086
-2,659,26.454136
4,562,27.099096
3,566,27.746132
1,865,28.357123
3,608,28.806167
-3,667,29.426188
-1,723,33.721224
3,595,34.051253
-4,476,34.318313
-1,779,35.183411
2,792,35.715424
-2,657,36.256054
-3,739,39.504149
-5,401,39.750708
-1,844,40.276468
3,551,40.61104
1,876,41.142932
-3,648,41.541019
-3,586,44.742349
2,821,45.245138
-3,611,45.615887
4,498,45.925169
2,703,46.357098
3,578,46.716436
1,761,50.119595
4,567,50.468768
4,490,50.772244
1,796,51.269074
2,659,51.673417
-3,518,51.986162
1,707,52.418013
-5,465,55.440474
4,526,55.765637
3,578,56.119494
2,728,56.557188
-4,488,56.852634
1,721,57.290279
4,482,57.57903
-3,515,60.756317
-4,471,61.040492
-1,751,61.495721
-1,745,61.943231
2,663,62.343658
-1,693,62.758827
-4,515,65.828964
2,725,66.31425
2,632,66.703075
3,616,67.079606
-1,758,67.539349
4,523,67.86057
-2,720,71.256048
-1,773,71.763626
-2,695,72.181912
3,546,72.506177
4,527,72.825608
1,785,73.299062
-2,757,73.758035
2,682,77.03078
2,743,77.487379
-1,720,77.940334
-2,616,78.321338
-1,722,78.76692
-3,547,79.125093
2,654,82.310515
-2,632,82.704261
5,385,82.950586
-2,638,83.348704
-3,599,83.715788
3,650,84.119144
2,725,87.292899
-2,655,87.723714
-1,842,88.241173
2,605,88.606864
1,787,89.088529
-2,647,89.482156
-2,707,92.761862
-1,727,93.214925
-4,455,93.497126
-2,622,93.887245
2,627,94.279344
2,791,94.775723
-2,643,98.036999
3,569,98.426619
-1,774,98.917315
1,736,99.380444
1,744,99.826055
1,729,100.262011
-2,624,103.495204
4,505,103.824177
4,596,104.185299
-3,585,104.542018
4,492,104.842251
-1,721,105.284851
-3,582,105.640435
-2,648,108.824848
1,766,109.305128
-3,559,109.639358
1,792,110.126529
2,644,110.524984
1,718,110.978346
1,722,114.231657
4,467,114.527187
4,514,114.846626
5,450,115.131815
1,816,115.639956
1,761,116.104403
1,727,116.534166
4,471,119.691066
5,475,119.963983
-4,542,120.306161
3,684,120.721594
-1,774,121.190563
4,497,121.48536
5,430,121.756551
-1,756,125.032567
3,536,125.363579
2,660,125.768605
1,745,126.235491
-2,628,126.625638
-1,766,127.101347
1,756,130.437698
3,551,130.773214
1,735,131.235007
-1,772,131.706701
1,788,132.175139
1,701,132.59716
-3,585,135.774818
-2,751,136.236952
1,724,136.912342
-4,469,137.152208
2,695,137.513947
-3,567,137.801069
3,538,138.082281
2,707,138.452535
-2,704,138.822978
-1,768,139.22338
3,614,139.539501
4,548,139.815937
-1,750,140.198651
-1,816,140.621511
-4,480,140.868389
2,707,141.230232
2,628,141.554031
2,659,141.887809
3,648,142.223423
-3,545,142.510901
1,782,142.916738
-2,669,143.258701
-2,632,143.573701
-3,554,143.854703
2,791,144.254702
2,706,144.606704
-1,769,144.993701
4,500,145.247701
1,728,145.639705
-2,622,145.9687
2,769,146.379777
-2,694,146.762775
5,481,147.017767
1,752,147.416777
-3,592,147.722781
2,638,148.049805
-1,700,148.411785
-4,494,148.662019
5,479,148.906024
-4,484,149.154045
3,558,149.443045
-1,781,149.842017
-3,560,150.130053
4,487,150.386082
-1,754,150.783081
-1,812,151.214082
2,658,151.554374
-3,547,151.835366
-1,717,152.201414
2,682,152.549413
2,610,152.862442
-3,554,153.148398
-5,382,153.346434
2,658,153.679432
5,389,153.881399
2,666,154.222398
1,730,154.593397
-2,710,154.959398
5,418,155.174398
3,652,155.502397
1,843,155.931399
-2,643,156.2554
4,481,156.498406
2,681,156.844398
-3,579,157.132401
2,626,157.445398
-4,478,157.690433
2,654,158.029436
1,822,158.468427
4,460,158.713426
-1,872,159.168436
-3,542,159.444434
2,743,159.821464
3,578,160.110439
-5,387,160.315485
-3,590,160.618515
4,536,160.893485
-3,610,161.209723
-2,677,161.556722
3,543,161.840747
3,566,162.131719
4,473,162.373719
-1,714,162.74072
3,560,163.031719
-5,410,163.245719
3,577,163.53972
-3,568,163.833736
1,763,164.22174
-5,419,164.432733
1,737,164.815772
-1,707,165.177733
-5,415,165.384732
2,656,165.716733
-1,807,166.130733
-3,573,166.422734
5,485,166.669733
3,619,166.985733
-4,496,167.249733
-2,645,167.577733
3,692,167.924745
-4,471,168.164759
-1,727,168.534658
-1,768,169.046671
-1,768,169.556413
4,508,169.901475
5,454,172.936951
-1,745,173.418593
2,643,173.807841
-2,635,174.203969
5,442,174.474685
-1,726,174.925718
1,785,175.411195
-3,557,178.530968
-3,562,178.883396
2,644,179.283451
4,485,179.580513
3,638,179.965007
-1,763,180.428832
-5,447,180.69977
-3,570,183.87865
-4,614,184.249503
-3,556,184.586513
-1,745,185.036248
4,623,185.420258
3,619,185.802055
-1,753,189.006054
2,637,189.394835
4,553,189.73262
-2,647,190.123574
5,459,190.403824
1,806,190.900427
-3,654,194.016297
-1,730,194.501487
1,816,195.004431
5,476,195.297388
4,479,195.583797
-2,666,196.000511
1,727,196.444158
4,488,199.537355
2,660,199.938046
-3,557,200.27542
-1,700,200.698344
-2,735,201.155913
4,496,201.464496
1,747,204.629158
3,623,205.042228
4,441,205.313173
1,793,205.801351
-4,460,206.087075
2,667,206.507093
2,704,206.936182
-2,663,210.15212
3,577,210.519617
-5,381,210.757303
3,622,211.141091
-1,833,211.654369
-5,409,211.899719
2,709,212.331454
4,537,215.445991
3,687,215.860097
-2,775,216.332537
3,620,216.710942
1,763,217.176722
-2,646,217.568951
3,553,220.653136
1,726,221.095223
4,520,221.410241
-4,521,221.721206
2,674,222.127914
2,666,222.537054
-4,497,222.85014
-5,400,225.715122
2,707,226.163789
1,821,226.67801
2,657,227.085003
-2,744,227.539531
-1,692,227.95469
-4,578,231.046947
-1,787,231.528986
3,543,231.85283
-1,724,232.280816
2,670,232.679379
-2,647,233.066154
1,774,236.313095
1,708,236.741333
4,484,237.034769
2,739,237.483263
-1,731,237.925823
-1,717,238.368787
-5,397,241.339643
-1,829,241.892182
-1,696,242.311614
-1,752,242.774984
-3,671,243.187295
4,476,243.480151
-1,741,246.751037
-5,382,247.026865
-2,795,247.515465
3,616,247.885875
3,690,248.299769
-4,480,248.596814
2,718,249.036895
4,461,252.05145
3,630,252.471477
1,888,253.01236
-1,773,253.474524
1,784,253.953278
4,601,254.323902
-1,725,257.483419
2,726,257.918136
-2,619,258.296381
4,579,258.645992
-1,736,259.104551
3,639,259.503831
3,638,262.664667
-1,791,263.159664
3,553,263.496298
-4,477,263.790887
3,545,264.127341
-2,712,264.55884
-1,718,264.990612
-1,763,268.259692
1,719,268.687552
-4,518,269.00397
1,780,269.481456
3,653,269.882542
-3,625,270.270318
3,575,273.490407
1,791,274.005157
1,789,274.592751
3,554,274.943433
-1,804,275.492516
4,665,278.930374
-4,492,279.281468
2,679,279.687813
-1,722,280.122387
-3,566,280.465116
1,746,280.909673
4,471,281.19813
4,498,284.234288
-1,677,284.663213
-3,645,285.052368
4,455,285.336605
1,784,285.821354
-2,698,286.257837
5,488,286.560682
1,719,289.697818
2,724,290.139902
