#{"t_start": 1657662919.6905906, "env_id": null}
r,l,t
-1,819,232.862432
-3,542,234.55201
-1,745,235.024404
2,615,235.413035
2,788,237.286891
2,724,237.731951
-2,673,238.142219
-3,595,239.85447
2,700,240.30542
-3,633,240.72137
-1,778,242.52204
-1,840,243.047232
5,529,243.376938
-4,554,245.129133
4,564,245.478205
-4,465,245.760637
-5,495,246.073078
-1,778,248.095136
4,500,248.420306
1,785,248.988639
1,792,250.910374
3,629,251.29866
-2,674,251.732217
2,722,253.611451
-3,656,254.008866
4,486,254.310768
-1,746,256.08966
-3,663,256.520183
3,576,256.888124
3,591,258.592874
1,1007,259.250865
-2,791,259.749275
5,403,261.407228
-1,820,261.9196
-2,715,262.366888
-3,594,264.173887
1,849,264.730365
-4,649,265.128721
-1,866,267.01499
2,646,267.428887
2,743,267.90708
2,583,269.677652
1,727,270.128843
-3,577,270.48495
-2,683,272.369614
-2,613,272.782379
-2,688,273.202634
-3,570,274.854317
5,440,275.135254
-4,473,275.436928
3,590,275.815161
-1,710,277.683099
-2,623,278.068156
4,576,278.423803
4,478,280.109406
-3,791,280.652032
5,453,280.972445
2,804,282.848987
-1,895,283.44935
-3,621,283.856867
-5,462,285.499079
-5,526,285.861341
-4,583,286.212338
-3,603,286.585654
1,778,288.496617
-2,622,288.894038
-1,743,289.355417
-2,724,291.202483
2,700,291.64603
3,630,292.048392
2,661,293.843042
-1,749,294.30752
1,819,294.818531
-4,547,296.567559
-4,465,296.902441
4,470,297.419958
2,654,297.788511
3,634,298.114883
-2,709,298.490569
-2,634,298.839467
5,551,299.137877
2,811,299.571181
3,561,299.871192
5,414,300.097098
-1,784,300.525004
-2,840,300.973303
2,662,301.311266
-3,724,301.688775
-3,610,302.001114
3,617,302.319309
-2,672,302.67819
-2,702,303.044591
4,505,303.307919
1,838,303.752955
-4,509,304.027485
4,498,304.303835
2,627,304.642092
1,769,305.051193
2,727,305.426867
1,789,305.827934
1,785,306.232282
2,776,306.637957
1,841,307.081454
-1,781,307.490229
1,730,307.883235
-1,749,308.27727
-4,528,308.557286
1,750,308.946294
-1,866,309.385146
5,415,309.596182
3,586,309.893143
1,730,310.275144
-2,672,310.618147
-1,724,310.991167
-3,605,311.310159
-1,731,311.694158
1,816,312.132175
3,615,312.460174
-1,698,312.840207
-2,727,313.218201
4,497,313.477207
3,577,313.778208
2,661,314.124199
1,739,314.507214
-1,760,314.905223
1,783,315.311257
-4,473,315.555257
-3,663,315.899257
4,498,316.157274
-1,805,316.577274
-2,665,316.922276
-4,643,317.249274
2,736,317.623289
-3,553,317.909289
4,525,318.180289
3,573,318.479288
1,727,318.857906
2,655,319.200919
4,482,319.451919
-1,865,319.919956
4,483,320.180958
-2,794,320.61244
-5,457,320.860412
2,609,321.181445
-1,772,321.58544
1,705,321.955413
1,732,322.330411
-1,746,322.714411
4,482,322.962417
1,731,323.339411
-1,784,323.751413
-3,598,324.065412
-4,503,324.331412
-4,482,324.584411
3,601,324.890411
-3,561,325.166423
1,775,325.556451
-2,634,325.885486
3,552,326.176461
2,732,326.550461
1,812,326.960461
-2,612,327.294977
5,412,327.507976
1,770,327.915981
-1,889,328.384976
1,754,328.79099
2,654,329.12499
3,648,329.45699
3,604,329.766992
2,639,330.097005
-2,859,330.543021
1,778,330.950034
1,794,331.36202
-1,750,331.74902
3,568,332.04702
1,801,334.154156
1,718,334.610036
-1,743,335.07343
4,560,336.83638
-1,739,337.325361
-2,647,337.716921
-3,562,338.059035
4,496,339.766273
-3,640,340.177349
4,501,340.513827
-2,700,342.28021
3,642,342.68576
4,493,342.991278
3,577,343.356478
-2,659,345.188991
4,509,345.495216
-1,751,345.959926
1,738,347.864128
5,467,348.164531
-5,395,348.414438
-2,658,350.160568
2,678,350.605584
1,758,351.078844
4,479,351.38352
-1,772,353.25333
2,755,353.714484
-1,707,355.52947
-1,840,356.084404
-1,797,356.602087
-2,691,358.412762
-2,633,358.806145
-2,709,359.247766
2,734,361.211347
-3,585,361.574927
-1,761,362.045521
-1,752,364.03682
-2,664,364.472494
-1,812,364.98999
1,753,366.778418
-2,798,367.280038
-1,776,369.181301
1,701,369.624459
-1,811,370.11626
4,607,371.954277
2,709,372.423025
3,559,372.784408
-1,834,374.652845
3,616,375.053567
3,610,375.441818
-2,695,377.266851
5,396,377.536222
-1,718,377.978272
5,358,378.200975
2,726,380.026748
-1,815,380.572493
-3,609,380.951424
4,519,382.603844
-3,641,383.009848
-2,670,383.43313
4,565,383.798636
-4,513,385.529741
1,685,385.94751
-1,898,387.802491
2,603,388.213002
2,634,388.626559
-4,604,389.003671
-3,578,390.710772
-1,757,391.188601
3,566,391.541457
2,636,393.381315
3,592,393.747769
-2,693,394.181092
-2,669,395.955464
1,735,396.445852
3,558,396.810553
3,646,398.525467
-2,692,398.977191
2,646,399.390901
3,636,401.224017
2,661,401.6428
2,695,402.062769
1,765,403.923927
2,727,404.461055
-1,741,404.976912
-3,554,406.643331
1,795,407.155547
2,655,407.567232
-3,609,409.322371
2,656,409.752983
-1,706,410.180375
1,734,412.028162
3,543,412.406623
-5,446,412.695877
1,755,413.161211
1,813,415.009541
4,495,415.320768
4,454,415.611109
-1,821,417.51007
-1,730,417.965138
-1,770,418.451092
-3,622,420.230702
2,628,420.638265
-3,556,420.987217
-3,633,422.769444
1,795,423.281188
3,656,423.698667
2,687,425.531423
-2,675,425.94653
-5,414,426.19956
-1,791,428.159258
2,727,428.639488
1,743,429.126281
-2,655,430.909966
-3,577,431.275234
-3,547,431.614603
5,398,431.870945
3,557,433.625201
1,771,434.100724
-1,736,434.549356
4,480,436.233803
3,583,436.626684
2,821,437.141988
-3,555,438.755064
-3,663,439.197001
3,598,439.578887
-3,593,439.961019
-5,419,441.602004
-2,619,441.986032
1,713,442.422644
2,630,444.191887
4,473,444.50759
4,495,444.832875
-3,594,445.194192
2,706,446.996135
-3,579,447.360325
-1,763,447.845962
2,678,449.694458
3,580,450.046538
-4,539,450.382621
-5,439,450.659466
2,726,452.56002
1,747,453.026176
3,563,453.369995
1,754,455.218855
-3,602,455.597762
-4,468,455.896116
-2,644,457.706649
-3,641,458.103276
5,415,458.364536
3,530,458.692699
2,635,460.519975
4,519,460.857698
-4,551,461.19008
-2,640,462.915063
3,570,463.289985
2,695,463.817894
4,478,464.07659
-2,659,464.442895
2,682,464.82059
2,696,465.179852
4,480,465.429082
2,656,465.760839
-3,547,466.040304
5,419,466.26039
-2,685,466.62519
3,589,466.937208
-2,646,467.283389
1,904,467.767218
-2,699,468.15832
4,573,468.473721
-4,491,468.741021
-1,882,469.195329
-3,574,469.490593
3,608,469.803205
-3,620,470.125432
1,703,470.495869
1,835,470.930325
3,716,471.311782
4,499,471.578148
1,763,471.984393
-3,606,472.315967
-1,738,472.713729
2,635,473.042176
-2,668,473.379806
-5,475,473.626962
-1,748,474.007199
1,806,474.423671
4,496,474.681151
4,595,474.991407
5,501,475.254502
-1,857,475.708527
-1,849,476.164187
-2,616,476.502597
1,805,476.943281
4,461,477.181538
2,638,477.515168
2,769,477.911237
-3,585,478.215684
-2,664,478.561997
-3,684,478.928693
3,560,479.227103
2,677,479.588173
-1,791,480.012895
3,666,480.376097
5,444,480.612168
4,534,480.897333
1,711,481.272239
-3,609,481.585099
-5,403,481.789402
-4,504,482.043785
-1,783,482.448172
2,808,482.869836
2,622,483.198997
3,563,483.500982
-3,584,483.816378
-4,511,484.096981
-1,766,484.512879
-1,792,484.934157
1,771,485.331387
2,677,485.677715
-3,600,485.98079
-5,473,486.224119
-1,734,486.609664
1,775,487.018575
1,974,487.53273
3,630,487.868267
1,858,488.338039
-3,514,488.616691
2,664,488.9711
-1,724,489.342741
-3,571,489.63257
-2,648,489.96322
-1,693,490.320148
3,564,490.61289
-1,807,491.037917
2,628,491.371437
-2,692,491.741626
2,655,492.097165
2,651,492.45237
2,719,492.842874
2,752,493.233197
4,508,493.493523
2,645,493.854427
-3,613,494.174465
-3,563,494.468724
-2,616,494.788349
