#{"t_start": 1657644570.2570302, "env_id": null}
r,l,t
4,496,0.459784
2,662,0.98882
-4,570,1.380811
1,864,3.551216
-3,561,3.921911
1,777,4.451063
-2,655,6.383785
2,815,7.515519
-5,399,7.82964
-1,736,9.80645
5,418,10.067272
-1,770,10.551114
-1,732,12.42556
2,736,12.911465
2,670,13.324495
3,609,15.107196
-1,738,15.59077
2,636,16.006996
-1,767,17.912546
3,562,18.258787
-2,698,18.697539
2,740,20.659971
-1,821,21.181402
-2,615,21.564753
4,507,23.224321
-1,662,23.663802
-2,630,24.065929
3,615,25.856087
4,462,26.158973
2,717,26.60837
5,430,26.876237
3,541,28.5887
-3,541,28.943112
-2,680,29.362166
2,649,29.770687
-2,634,31.576864
-1,706,32.042212
-2,632,32.461243
-2,728,34.371852
3,687,34.806583
1,765,36.659405
-4,534,37.02921
1,767,37.496629
2,749,39.28174
2,850,39.895749
-1,832,40.464142
-1,709,42.237664
-2,730,42.697119
2,652,43.114987
-3,673,44.991085
-3,559,45.334571
1,793,45.818662
1,832,47.744132
1,805,48.262311
-2,770,50.103065
-1,785,50.62542
-4,507,50.944369
2,734,52.80318
2,606,53.225681
2,703,53.650826
1,756,55.528275
4,508,55.882696
2,704,56.339086
-2,755,56.839662
1,758,58.602068
-2,661,59.022953
-3,589,59.390267
2,691,61.189172
4,561,61.533037
-4,537,61.864983
2,673,63.724557
-4,529,64.077046
-1,791,64.596452
5,410,64.861367
1,761,66.807275
2,616,67.194007
-4,550,67.543465
-4,455,69.191131
-2,754,69.647405
2,765,70.111861
5,421,71.847188
-1,737,72.331263
-2,688,72.778906
3,528,74.439461
3,585,74.824657
-3,628,75.23148
-3,618,75.619094
1,797,77.492499
2,625,77.873172
1,787,79.754122
-3,534,80.136167
-4,640,80.546624
3,659,80.960778
1,871,82.843866
-2,694,83.287669
3,643,85.040085
-1,739,85.541569
-1,736,85.985639
2,733,87.813507
-3,560,88.195207
1,697,88.661263
-4,481,88.96867
4,505,90.612409
-3,573,90.97173
-1,783,91.471306
1,836,93.563221
-2,736,94.010284
2,736,94.468575
4,462,96.172647
-1,774,96.688303
-2,730,97.146531
-2,602,98.961892
2,672,99.402524
1,735,99.878537
1,865,101.780447
-5,468,102.074109
-3,579,102.435323
1,711,104.237174
-3,556,104.603998
1,757,105.085902
