#{"t_start": 1654790097.4113054, "env_id": "SlimeVolley-v0"}
r,l,t
-5,543,292.442566
-5,462,292.995566
-5,716,293.853566
-5,624,294.574566
-5,659,295.374616
-5,577,296.052579
-5,548,296.69258
-5,790,297.873602
-5,836,299.359164
-5,759,300.257164
-5,927,301.595718
-5,615,302.427288
-5,618,303.296297
-5,641,304.23829
-5,478,304.797291
-5,678,305.597307
-4,716,306.419307
-5,511,307.006345
-5,802,307.941142
-5,629,308.705104
-5,570,309.461414
-5,632,310.258414
-5,723,311.169417
-5,526,311.879771
-5,543,312.576952
-5,426,313.117041
-5,744,313.974522
-4,630,314.754212
-5,861,315.925415
-5,532,316.547417
-4,669,317.315966
-5,752,318.182928
-5,542,318.886198
-5,491,319.46516
-5,566,320.134161
-5,626,320.865701
-5,584,321.726248
-5,788,322.840307
-4,697,323.808345
-4,689,324.695257
-4,631,325.509254
-5,454,326.015255
-5,686,326.805254
-5,791,327.895293
-5,886,328.926327
-5,668,329.774331
-4,699,330.724436
-4,882,331.812431
-5,524,332.479427
-5,755,333.542496
-5,574,334.238541
-4,605,334.944541
-5,504,335.537541
-5,529,336.165617
-5,754,337.142243
-4,1105,338.572264
-5,475,339.226282
-4,806,340.375273
-5,643,341.164271
-5,502,341.824831
-5,761,343.18736
-5,666,344.050332
-4,551,344.735892
-5,648,345.663899
-4,554,346.362867
-5,722,347.218864
-4,690,348.275877
-5,716,349.576885
-5,516,350.339736
-5,757,351.267734
-5,582,352.036733
-5,676,352.891316
-5,633,353.789352
-5,561,354.513353
-5,632,355.374434
-3,627,356.18939
-4,815,357.886531
-5,565,359.111403
-5,621,359.865417
-5,468,360.529417
-5,479,361.433016
-5,555,362.650492
-4,697,363.772893
-5,456,364.460019
-2,1195,367.106443
-5,476,368.174443
-5,599,369.236447
-5,647,370.023446
-5,614,370.925444
-5,963,372.238445
-4,613,372.998444
-5,387,373.451452
-5,623,374.145444
-4,621,374.987528
-5,574,375.659538
-4,578,376.427566
-5,611,377.264612
-5,612,377.977631
-5,625,378.718161
-5,587,379.388161
-4,660,380.28619
-5,631,381.266211
-5,888,382.956271
-5,713,384.176394
-5,464,384.983401
-5,577,386.761609
-5,359,387.566409
-5,544,388.454417
-5,463,389.44642
-5,432,390.141414
-5,555,390.882235
-5,703,391.796561
-5,574,392.687577
-5,467,393.260576
-3,798,394.229575
-5,578,394.899576
-5,454,395.428575
-5,589,396.090611
-5,698,396.889591
-5,756,397.736591
-5,577,398.40059
-4,640,399.173595
-5,615,399.886621
-4,676,400.846591
-5,582,401.553592
-5,460,402.072591
-5,675,402.962356
-5,648,403.82517
-5,575,404.504156
-5,584,405.178231
-5,778,406.059201
-5,549,406.686201
-4,477,407.219202
-5,615,407.939755
-5,811,408.856755
-5,517,409.431755
-5,388,409.869755
-5,575,410.545755
-5,893,411.575755
-5,623,412.450204
-5,622,413.591204
-5,653,414.703301
-5,450,415.629281
-5,493,416.31127
-5,375,416.794363
-5,648,417.740396
-5,689,418.938532
-5,561,420.003497
-5,626,421.028383
-5,687,422.045382
-5,598,422.840271
-5,759,424.641272
-5,710,425.942313
-5,873,427.566428
-5,395,428.201365
-5,808,429.23639
-5,647,430.00539
-3,797,430.952907
-5,659,431.793395
-5,525,432.412396
-5,768,433.373402
-5,684,434.368389
-5,397,435.095395
-5,861,436.446384
-5,644,437.368385
-5,533,438.002385
-5,740,438.92351
-5,432,439.593665
-5,606,440.584232
-5,798,441.97527
-5,619,442.831228
-5,386,443.262229
-5,589,443.92523
-5,440,444.484256
-5,522,445.197289
-5,605,446.005163
-5,477,446.641163
-5,556,447.468709
-5,464,448.081713
-5,605,449.066231
-5,492,449.849248
-5,407,450.641236
-5,597,451.51523
-5,801,452.596248
-5,421,453.102245
-5,527,453.698245
-5,416,454.175245
-5,756,455.201284
-5,553,455.999285
-5,517,456.589285
-5,403,457.202287
-5,493,457.786287
-5,807,458.894378
-5,410,459.555409
-5,561,460.354458
-5,630,461.138156
-5,488,461.691202
-5,662,462.436203
-5,618,463.122203
-5,428,463.749209
-4,687,464.744249
-5,647,465.471249
-4,643,466.19225
-5,608,466.955293
-5,617,467.65514
-5,664,468.431141
-5,531,469.074903
-5,469,469.711962
-5,499,470.354179
-5,486,471.172233
-5,1047,472.846244
-5,710,473.984745
-5,422,474.694773
-5,645,475.678745
-5,621,476.419745
-5,486,476.985746
-5,443,477.526745
-5,567,478.183745
-5,639,479.044748
-5,440,479.577746
-5,571,480.272774
-5,596,480.980745
-4,566,481.641746
-4,783,482.553261
-5,530,483.205262
-5,741,484.080261
-5,510,484.72826
-5,464,485.342266
-5,477,485.902261
-5,581,486.604297
-5,535,487.23226
-4,603,488.071795
-4,870,489.55886
-5,458,490.570875
-5,472,491.560398
-5,402,492.510438
-4,684,494.018938
-5,444,494.816544
-5,492,495.773978
-5,700,497.318631
-5,678,498.904695
-5,462,499.929632
-5,496,501.0226
-5,543,502.387766
-5,689,504.02276
-4,833,505.992738
-5,851,508.108226
-4,733,509.871742
-5,644,511.332175
-5,634,512.908946
-5,742,514.852329
-4,550,516.629735
-5,640,518.396878
-5,577,519.920015
-5,682,521.707175
-5,686,523.709207
-4,792,525.745115
-5,469,526.960715
-5,540,528.409838
-5,472,529.56522
-5,478,530.883048
-5,605,532.399203
-5,431,533.485846
-5,553,534.937145
-3,724,536.836941
-5,417,537.83694
-5,479,539.053742
-5,666,540.976255
-5,571,542.61084
-5,451,543.994025
-5,794,546.131491
-5,740,548.288401
-5,525,549.952706
-4,878,552.205599
-5,640,553.887258
-5,495,555.152271
-5,420,556.2073
-4,665,557.976823
-5,600,559.825658
-5,503,561.565322
-4,776,563.782603
-5,737,565.613702
-5,856,567.972871
-5,442,569.108157
-5,535,570.529355
-5,404,571.573697
-5,594,573.286069
-5,497,574.626735
-5,542,576.062751
-5,694,577.943668
-5,488,579.164701
-5,652,580.805269
-5,660,582.39806
-5,542,583.676752
-5,463,585.035125
-5,466,586.170229
-5,547,587.172874
-5,699,588.660591
-5,420,589.73841
-5,472,591.044732
-5,494,592.277964
-5,698,594.065431
-5,744,596.064877
-5,718,597.889
-5,487,599.127048
-5,493,600.518468
-5,720,602.432887
-5,743,604.569364
-5,644,606.342032
-5,705,608.177078
-5,774,610.125869
-4,815,612.037738
-5,539,613.049794
-5,539,614.014151
-5,535,614.970335
-5,677,616.514589
-5,462,617.856273
-5,504,619.157098
-5,449,620.352328
-5,751,622.273964
-5,687,623.925477
-5,783,625.332798
-5,808,626.665067
-5,601,627.699629
-5,617,628.75823
-5,667,630.029121
-5,459,631.200223
-4,1043,634.238072
-5,484,635.701858
-5,779,637.855671
-5,619,639.424928
-5,642,641.104848
-5,678,642.860869
-5,619,644.476866
-5,720,646.592853
-5,521,648.033049
-5,911,650.418118
-4,767,652.33686
-5,397,653.349324
-5,599,654.965032
-5,596,656.473221
-5,651,658.17899
-5,572,659.928657
-4,848,662.130931
-5,647,664.114176
-5,806,666.535324
-4,982,669.1551
-5,548,670.59266
-5,635,672.20765
-5,468,673.51974
-5,411,674.544195
-5,562,676.080173
-5,604,677.746471
-4,636,679.361784
-4,938,682.002652
-5,514,683.351191
-5,800,685.630633
-5,398,686.737994
-5,815,688.909519
-5,597,690.442674
-4,684,692.243593
-5,580,694.078351
-5,734,696.227631
-5,611,697.937244
-4,501,699.485005
-5,602,701.039524
-5,547,702.504165
-5,496,703.769569
-5,530,705.103944
-5,620,706.841262
-5,673,708.562533
-5,466,709.760344
-5,771,711.995331
-5,538,713.350099
-5,644,715.286863
-5,699,717.041426
-5,723,719.072864
-5,864,721.376318
-5,432,722.608074
-5,593,724.176286
-5,544,725.81452
-5,772,727.965676
-5,790,730.130437
-5,647,731.782987
-5,653,733.698753
-5,601,735.223111
-3,676,737.0551
-5,669,738.748442
-5,543,740.175181
-5,494,741.677021
-5,746,743.612906
-4,687,745.547693
-5,749,747.392469
-5,462,748.775623
-5,612,750.334839
-5,891,752.820516
-5,477,754.227571
-5,819,756.603849
-4,734,758.677248
-5,568,760.133409
-5,558,761.546042
-3,731,763.42411
-5,681,765.197456
-5,727,767.206694
-5,793,769.5342
-5,754,771.731656
-5,526,773.073021
-5,392,774.258751
-5,517,775.594114
-5,431,776.67569
-4,794,778.802105
-5,659,780.899437
-4,714,782.954938
-5,493,784.553214
-5,479,785.922142
-5,632,787.792784
-5,604,789.417322
-5,681,791.393068
-4,519,792.713098
-5,617,794.313907
-5,683,796.233046
-5,489,797.466336
-5,685,799.469047
-5,605,801.032389
-5,549,802.457359
-5,447,803.626207
-5,573,805.105008
-5,1006,808.063411
-5,414,809.118719
-4,668,811.046383
-3,1221,814.51553
-4,636,816.196527
-5,674,818.206425
-5,797,820.222871
-5,597,821.863847
-5,625,823.432023
-4,711,825.478402
-4,658,827.17835
-5,472,828.463767
-5,1030,831.283271
-5,727,833.468415
-5,552,834.885793
-5,504,836.369633
-4,1064,839.302883
-4,601,840.876283
-5,501,842.118314
-5,526,843.924798
-5,895,846.582875
-5,488,847.896734
-5,781,850.099042
-4,720,851.96849
-5,791,854.137422
-5,476,855.339377
-5,458,856.710044
-5,777,858.676228
-5,582,860.25929
-4,539,861.963106
-5,447,863.1151
-5,607,864.849442
-5,553,866.382889
-5,696,868.557478
-4,840,871.38912
-5,534,872.819863
-5,597,874.31023
-5,678,876.078116
-5,777,878.313288
-5,752,880.26436
-4,676,882.066576
-5,595,883.614826
-5,681,885.486524
-5,629,887.091457
-5,586,888.603164
-5,637,890.325568
-4,836,892.493116
-5,495,893.8248
-5,835,895.930399
-5,654,897.847679
-5,755,899.799607
-5,477,901.056301
-4,722,903.215551
-5,616,905.258101
-4,934,908.241438
-4,731,910.228917
-5,502,911.546929
-5,793,913.800821
-5,496,915.06391
-5,674,916.76835
-5,561,918.3466
-5,485,919.555003
-5,677,921.255676
-5,514,922.575128
-5,658,924.262982
-5,512,925.644202
-5,659,927.513682
-5,569,929.062606
-5,527,930.61783
-5,597,932.167443
-5,534,933.755236
-5,1020,936.805325
-5,859,939.027771
-5,471,940.275628
-5,617,942.027302
-5,609,943.5103
-5,872,945.904002
-5,647,947.51615
-5,1054,950.403074
-5,439,951.536808
-5,600,953.329641
-5,624,954.936124
-5,680,956.826307
-5,379,957.841983
-3,851,959.962828
-5,383,960.952838
-5,787,962.869385
-5,579,964.750119
-5,595,966.437916
-5,628,968.252368
-5,545,969.640215
-5,486,970.855097
-4,673,972.806945
-5,575,974.318681
-5,595,975.955194
-5,666,977.611805
-5,448,978.783301
-4,862,981.203079
-5,487,982.436949
-5,488,983.922869
-5,698,985.66183
-5,746,987.636481
-5,617,989.172924
-5,547,990.594488
-5,677,992.525717
-5,671,994.373466
-5,524,995.769937
-5,722,997.833331
-5,703,999.866331
-5,427,1000.9675
-5,376,1001.934101
-5,519,1003.47299
-5,597,1004.99244
-5,676,1006.889419
-5,450,1008.043182
-5,517,1009.281144
-4,609,1011.027868
-5,504,1012.347684
-4,535,1013.698035
-2,1131,1016.868762
-5,788,1018.922878
-5,490,1020.187859
-5,455,1021.321188
-5,532,1022.921197
-5,684,1024.825631
-4,473,1026.132674
-5,600,1027.79408
-5,438,1028.940501
-5,759,1031.23304
-4,696,1032.999472
-4,666,1034.696202
-5,709,1036.485581
-5,655,1038.407889
-5,765,1040.594306
-5,734,1042.691659
-5,402,1043.844882
-5,796,1046.115141
-5,542,1047.63108
-5,478,1048.869139
-5,531,1050.250638
-5,585,1051.936804
-4,703,1053.91739
-4,952,1056.612123
-5,702,1058.644795
-4,598,1060.094821
-5,710,1061.728509
-5,584,1063.083584
-5,386,1064.014105
-5,625,1065.43213
-5,724,1067.084684
-5,608,1068.486915
-5,566,1069.791575
-5,758,1071.687176
-5,709,1073.357732
-5,524,1074.642129
-5,486,1075.665007
-5,746,1077.313029
-4,529,1078.628423
-5,594,1079.965122
-5,480,1081.034204
-5,555,1082.24781
-3,672,1084.036764
-5,480,1085.421453
-5,663,1087.202667
-5,632,1088.721201
-5,791,1090.442956
-5,592,1091.678782
-5,720,1093.238904
-5,516,1093.96959
-5,703,1094.963793
-3,907,1096.625195
-5,504,1097.412625
-5,668,1098.409659
-5,519,1099.227174
-3,714,1100.360972
-5,424,1101.052435
-5,592,1101.956929
-5,454,1102.632407
-5,1002,1104.565294
-3,715,1105.683476
-5,766,1107.004842
-5,714,1108.763183
-5,664,1110.308389
-4,577,1111.927343
-5,819,1113.929328
-5,414,1115.034522
-5,725,1117.116766
-5,595,1118.61143
-5,671,1120.291209
-5,416,1121.35611
-5,1044,1123.983428
-5,428,1125.180046
-5,657,1126.714441
-5,709,1128.344039
-5,781,1130.38239
-5,554,1131.68347
-4,787,1133.471519
-5,537,1134.783836
-5,421,1135.924883
-5,451,1137.043454
-5,636,1138.538378
-5,626,1140.057448
-5,697,1141.808105
-5,412,1142.781487
-5,603,1144.509877
-4,706,1146.613938
-4,749,1148.747877
-5,880,1150.788916
-5,711,1152.454249
-5,598,1153.855762
-4,715,1155.644808
-5,593,1156.97735
-4,758,1158.705455
-5,880,1161.008731
-5,622,1162.429126
-5,431,1163.410136
-5,514,1164.546294
-5,780,1166.313319
-5,937,1168.485213
-5,742,1170.219562
-5,500,1171.369301
-5,414,1172.277309
-5,548,1173.60657
-5,462,1174.979655
-5,438,1176.162086
-4,828,1178.962949
-5,488,1180.396173
-5,632,1182.065822
-5,632,1183.501539
-5,518,1184.643061
-5,862,1186.744137
-5,602,1188.075134
-5,620,1189.439162
-5,585,1190.692585
-5,486,1191.760806
-5,679,1193.271365
-5,664,1195.012552
-5,656,1196.556973
-5,569,1197.850279
-5,652,1199.632897
-5,538,1200.918267
-5,602,1202.319911
-5,859,1204.786755
-5,581,1206.298726
-5,522,1207.645271
-5,656,1209.408731
-4,781,1211.201162
-5,599,1212.565138
-5,736,1214.252677
-5,530,1215.640643
-5,680,1217.270972
-5,520,1218.519372
-5,606,1220.103123
-5,772,1221.993588
-5,777,1223.819516
-5,788,1225.840435
-5,507,1227.011663
-5,433,1227.997067
-5,716,1229.6481
-5,588,1230.965074
-5,854,1233.347306
-5,634,1235.055014
-5,477,1236.409327
-5,660,1238.041464
-5,510,1239.222278
-4,896,1241.412804
-5,496,1242.544223
-5,535,1243.775594
-5,597,1245.147825
-5,473,1246.256583
-4,747,1248.088798
-5,474,1249.168807
-5,867,1251.151415
-5,764,1252.90152
-4,888,1255.12109
-5,651,1256.642351
-5,703,1258.238229
-5,503,1259.363115
-5,810,1261.440705
-5,607,1262.916575
-5,505,1263.880108
-4,578,1264.947522
-4,725,1266.147108
-5,683,1267.346354
-5,468,1268.051676
-5,931,1269.195768
-5,687,1270.002048
-5,544,1270.720115
-5,592,1271.603427
-5,527,1272.331864
-5,609,1273.144405
-5,608,1273.97753
-5,629,1274.805777
-5,627,1275.732565
-5,565,1276.592696
-5,529,1277.291256
-4,624,1278.11353
-4,566,1278.872772
-5,666,1279.72333
-4,804,1280.770883
-5,455,1281.359531
-5,670,1282.138408
-5,520,1282.814188
-5,957,1284.004871
-5,673,1284.765945
-5,708,1285.58701
-5,653,1286.490397
-5,618,1287.270955
-5,621,1288.013516
-4,695,1288.880749
-5,479,1289.422164
-5,538,1290.051177
-5,818,1291.046239
-5,586,1291.712617
-5,500,1292.285244
-5,552,1293.167515
-5,586,1294.153501
-5,539,1295.026497
-5,653,1296.058533
-4,490,1296.819797
-4,852,1298.091842
-5,742,1298.97021
-4,886,1300.033222
-5,600,1300.830762
-5,719,1301.699333
-5,818,1302.638052
-5,956,1303.8878
-5,654,1304.693089
-5,817,1305.840768
-4,720,1306.784714
-5,654,1307.636872
-5,535,1308.339138
-5,712,1309.310504
-5,624,1310.121129
-4,735,1311.150867
-5,633,1312.010419
-5,825,1313.447624
-5,854,1314.81127
-5,591,1315.847271
-5,499,1316.694005
-5,735,1317.686031
-5,644,1318.614987
-5,536,1319.328902
-5,666,1320.175451
-5,738,1321.124907
-5,742,1322.044683
-5,594,1322.845232
-5,563,1323.741594
-5,524,1324.530611
-4,740,1325.686637
-5,604,1326.587595
-5,412,1327.384525
-5,896,1328.852433
-5,534,1329.962678
-5,449,1330.520859
-5,466,1331.208367
-5,423,1332.070057
-5,501,1332.817868
-5,676,1333.979497
-5,468,1334.807041
-3,601,1335.607123
-5,613,1336.558023
-5,553,1337.392082
-5,742,1338.542134
-5,749,1339.526448
-5,474,1340.18785
-5,750,1341.291769
-5,581,1342.314724
-5,581,1343.128166
-5,511,1343.989628
-5,1016,1345.41156
-5,672,1346.500144
-5,472,1347.207345
-5,415,1347.812746
-5,440,1348.42953
-5,424,1348.985984
-5,589,1349.878696
-5,493,1350.608691
-4,678,1351.498165
-4,803,1352.565609
-5,547,1353.358132
-4,723,1354.455034
-5,674,1355.335293
-5,581,1356.163507
-5,560,1356.934136
-5,496,1357.60863
-5,743,1358.620135
-5,704,1359.671752
-5,735,1360.709937
-5,461,1361.333172
-5,697,1362.282763
-5,434,1363.142201
-5,485,1364.114726
-5,692,1365.885816
-5,711,1367.771559
-5,555,1369.026635
-5,595,1370.424629
-5,767,1372.048656
-5,581,1373.828929
-5,456,1374.92349
-5,472,1376.294526
-5,457,1377.192164
-5,607,1378.455233
-4,677,1380.060867
-5,694,1381.884453
-5,470,1383.087639
-5,668,1385.155448
-5,963,1388.03772
-5,613,1389.578542
-5,545,1390.85457
-5,769,1392.691564
-5,497,1393.840051
-5,539,1395.183117
-5,427,1396.385877
-5,564,1397.646417
-5,894,1399.66771
-5,817,1401.603748
-5,556,1402.852401
-5,664,1404.374513
-5,656,1405.905455
-4,777,1407.691541
-5,489,1408.824971
-4,785,1410.844855
-5,631,1412.318326
-5,519,1413.634824
-5,471,1415.131839
-5,594,1416.744586
-5,685,1418.702583
-5,569,1420.018588
-5,487,1421.103938
-5,547,1422.369874
-5,626,1424.020478
-5,660,1425.543929
-5,373,1426.414501
-4,597,1427.713445
-5,450,1428.676233
-5,521,1429.848729
-5,475,1431.146947
-4,620,1432.577044
-5,495,1433.700412
-5,890,1435.756855
-5,605,1437.305628
-5,441,1438.290322
-4,569,1439.562431
-5,496,1440.733328
-5,1009,1443.068963
-5,699,1445.147641
-5,875,1447.697705
-5,511,1448.931513
-5,797,1450.672704
-5,479,1451.736696
-4,660,1453.324451
-5,387,1454.29068
-5,501,1455.539415
-5,682,1457.071903
-5,549,1458.274451
-5,760,1460.143018
-5,635,1461.582751
-5,566,1462.891106
-5,870,1464.834273
-4,766,1466.531708
-5,659,1468.251291
-5,529,1469.421453
-5,708,1471.008893
-5,618,1472.422276
-5,903,1475.023452
-5,420,1476.122657
-5,516,1477.586065
-5,839,1479.581172
-5,623,1480.983523
-5,605,1482.384795
-5,690,1484.13232
-5,776,1485.918673
-5,922,1488.002187
-5,577,1489.590007
-5,456,1490.672562
-5,518,1491.843688
-5,743,1493.475281
-5,603,1494.799268
-5,532,1496.081989
-5,488,1497.401546
-5,680,1498.982346
-4,658,1500.470128
-3,974,1502.931752
-5,494,1504.222475
-5,532,1505.698223
-4,702,1507.628916
-5,490,1508.840529
-5,689,1510.478621
-5,764,1512.379091
-4,598,1513.815399
-4,621,1515.297737
-5,757,1517.032163
-5,542,1518.249159
-4,689,1519.90293
-4,924,1522.029843
-5,635,1523.578179
-4,711,1525.306476
-5,798,1527.278223
-5,451,1528.313514
-5,793,1530.383908
-4,650,1531.885346
-5,621,1533.487338
-5,582,1535.573293
-5,655,1537.386813
-4,809,1539.356463
-5,547,1540.658008
-4,768,1542.539249
-5,766,1544.292427
-5,598,1545.660857
-4,1008,1547.944475
-5,736,1549.898303
-5,587,1551.240054
-5,550,1552.574778
-4,608,1553.954472
-4,657,1555.692733
-5,469,1556.796539
-5,510,1557.960916
-5,869,1560.050492
-5,545,1561.562169
-5,682,1563.313747
-5,494,1564.982082
-5,661,1566.917602
-5,492,1568.323295
-5,604,1569.755629
-5,486,1570.888227
-5,713,1572.724599
-5,518,1573.916637
-5,755,1575.660244
-5,588,1577.010455
-5,486,1578.366285
-4,560,1579.641725
-5,445,1580.648506
-5,691,1582.224001
-5,599,1583.618654
-5,456,1584.864657
-5,789,1586.954104
-4,560,1588.526165
-5,745,1590.538145
-5,727,1592.157246
-5,407,1593.259957
-5,430,1594.625725
-5,617,1596.261316
-5,658,1598.270384
-4,742,1600.156616
-5,459,1601.236764
-4,734,1602.971071
-5,573,1604.270018
-5,747,1606.092918
-5,586,1607.556563
-5,630,1609.007354
-5,516,1610.215233
-5,647,1611.645699
-5,485,1612.950736
-4,630,1614.461833
-4,712,1616.159685
-5,937,1618.352766
-5,602,1620.273977
-5,891,1622.542141
-5,555,1624.144936
-5,806,1626.393784
-5,456,1627.596643
-5,535,1629.160586
-5,769,1631.317869
-5,520,1632.713352
-5,598,1634.065826
-5,592,1635.533032
-5,906,1637.622633
-5,500,1639.123795
-4,833,1641.140474
-5,466,1642.277005
-5,533,1643.647482
-5,505,1644.957952
-5,551,1646.295802
-5,528,1647.581278
-4,580,1648.937328
-5,499,1650.064454
-5,551,1651.337119
-5,459,1652.42147
-4,732,1654.302727
-5,551,1655.940785
-4,717,1658.04409
-5,586,1659.376481
-5,739,1661.022562
-5,418,1661.930405
-5,442,1662.944322
-5,457,1663.932992
-5,642,1665.470386
-5,1042,1667.881803
-5,624,1669.262064
-5,630,1670.756515
-5,656,1672.25391
-5,509,1673.52783
-5,530,1674.725754
-5,617,1676.124603
-5,625,1677.561494
-5,580,1678.980406
-5,699,1680.933382
