#{"t_start": 1654878590.4855926, "env_id": "SlimeVolley-v0"}
r,l,t
-5,491,0.904594
-5,499,1.707613
-5,642,2.576483
-5,466,3.191353
-5,413,3.728973
-5,534,4.442789
-5,553,5.175139
-5,477,5.787249
-3,753,6.812795
-5,723,7.757405
-5,537,8.42232
-5,684,9.268218
-5,856,10.386069
-5,707,11.302202
-5,742,12.245896
-4,618,13.004427
-4,839,14.034547
-5,486,14.628154
-4,876,15.781157
-5,482,16.534161
-5,538,17.34924
-5,755,18.289704
-5,828,19.302491
-5,752,20.260316
-5,504,20.875513
-5,731,21.775855
-5,624,22.59541
-5,592,23.323988
-5,648,24.110259
-5,585,24.819652
-5,689,25.684804
-5,639,26.515471
-5,541,27.178979
-5,680,28.003623
-4,826,29.03579
-5,498,29.688814
-5,677,30.552504
-3,768,31.51675
-5,447,32.063452
-5,427,32.594195
-5,493,33.204065
-4,837,34.293348
-5,536,34.949435
-5,538,35.608154
-5,710,36.520638
-5,765,37.510329
-5,666,38.337214
-5,762,39.271505
-5,788,40.249169
-5,553,40.987112
-5,782,41.968377
-5,561,42.658487
-4,691,43.51922
-5,831,44.551348
-5,665,45.413943
-5,626,46.178449
-4,754,47.112572
-5,683,47.97361
-5,541,48.679934
-5,522,49.337349
-5,685,50.189345
-5,659,51.001834
-4,655,51.813353
-5,520,52.494859
-5,503,53.127477
-5,718,54.039159
-5,557,54.726409
-5,556,55.41214
-5,611,56.203021
-5,531,56.865855
-5,474,57.456721
-5,480,58.049482
-5,746,58.972496
-4,694,59.872496
-5,619,60.635165
-5,557,61.322859
-5,570,62.033871
-5,655,62.855278
-5,649,63.689307
-5,458,64.273142
-5,638,65.05438
-4,645,65.853429
-5,565,66.550821
-5,574,67.275813
-5,533,67.947008
-5,535,68.610673
-5,693,69.459619
-5,732,70.378094
-5,698,71.269221
-5,562,71.959141
-5,503,72.57722
-5,587,73.315577
-5,581,74.033023
-5,562,74.760762
-5,598,75.491044
-5,515,76.129089
-5,539,76.790106
-5,615,77.556744
-5,372,78.031797
-5,597,78.785696
-5,666,79.62186
-5,720,80.51435
-5,521,81.156784
-4,610,81.90463
-5,515,82.566616
-5,722,83.456984
-4,658,84.270505
-5,609,85.022297
-4,690,85.898442
-5,585,86.660113
-4,652,87.461932
-5,576,88.177446
-5,589,88.929149
-5,629,89.697759
-5,543,90.414847
-5,790,91.376877
-5,505,91.994178
-5,562,92.684009
-4,681,93.565243
-5,568,94.262938
-5,609,95.013389
-5,472,95.586783
-5,585,96.30974
-5,619,97.075178
-5,550,97.778944
-5,496,98.394178
-5,452,98.949977
-5,480,99.5377
-5,465,100.105647
-5,619,100.855619
-5,563,101.589793
-5,502,102.224977
-5,678,103.065584
-5,634,104.179525
-5,385,104.703392
-5,446,105.306797
-5,620,106.075813
-5,560,106.915438
-5,552,107.797271
-5,612,108.591446
-4,726,109.54872
-5,452,110.166676
-4,744,111.253633
-5,700,112.158817
-5,805,113.222018
-5,685,114.132579
-5,709,115.152383
-5,646,115.995051
-5,549,116.708107
-5,504,117.376594
-5,606,118.186065
-5,684,119.167559
-5,542,119.894389
-5,522,120.576739
-5,442,121.147335
-5,836,122.273369
-5,521,122.987631
-5,730,124.297178
-5,529,125.121004
-5,655,126.075886
-5,791,127.152638
-5,444,127.744478
-5,541,128.448237
-5,622,129.262413
