#{"t_start": 1656969776.268565, "env_id": "SlimeVolley-v0"}
r,l,t
-5,578,188.472303
-5,523,189.709655
-5,627,190.040722
-5,499,190.290722
-5,738,190.668774
-5,770,192.062255
-5,650,192.39038
-5,636,192.721728
-5,788,194.115451
-5,890,194.552967
-5,579,195.837003
-5,706,196.212047
-4,1027,196.730077
-4,733,198.178028
-5,427,198.396783
-4,713,198.756156
-4,830,200.291007
-5,866,200.730516
-5,769,202.108642
-5,749,202.533394
-5,629,202.861519
-5,716,204.223696
-5,686,204.598729
-5,631,204.914198
-5,722,206.467086
-5,586,206.779616
-5,820,207.185866
-5,704,208.532426
-5,467,208.782454
-5,758,209.176212
-4,755,210.538406
-5,1052,211.08531
-5,656,211.41345
-5,918,212.94756
-4,770,213.341339
-5,530,213.606963
-5,681,214.953575
-5,787,215.359824
-3,860,216.787723
-5,674,217.147128
-5,504,217.400146
-5,753,218.777947
-5,747,219.184227
-5,699,219.5436
-5,696,220.908749
-4,848,221.349259
-5,748,221.724258
-4,955,223.211476
-5,662,223.539602
-5,744,224.870586
-3,1137,225.482918
-5,677,225.813658
-4,712,227.160293
-5,859,227.597792
-4,806,229.006881
-5,641,229.381908
-5,786,229.775679
-5,737,231.140837
-5,689,231.500242
-5,617,231.812756
-5,788,233.221789
-5,955,233.709232
-5,818,235.10266
-4,905,235.571433
-5,678,235.917272
-5,824,237.36417
-5,576,237.661074
-4,1133,239.211089
-5,811,239.648611
-5,545,239.914235
-5,1000,241.417142
-5,644,241.745295
-5,788,242.151561
-5,1037,243.69842
-5,777,244.089045
-5,534,245.354645
-5,736,245.748477
-5,774,246.139101
-5,703,247.467196
-4,950,247.967227
-5,476,248.201601
-5,776,249.576571
-5,858,250.017197
-5,999,250.517198
-5,851,250.860949
-5,793,251.204698
-5,671,251.489013
-5,669,251.770263
-5,553,251.989014
-4,876,252.364013
-5,703,252.660888
-5,794,252.99207
-5,638,253.257694
-5,582,253.507695
-5,567,253.742073
-4,880,254.104481
-5,564,254.354481
-5,624,254.604484
-5,842,254.963858
-5,628,255.229481
-5,670,255.513747
-5,515,255.732497
-5,933,256.107498
-5,511,256.326251
-5,943,256.7325
-5,616,256.985595
-5,607,257.235595
-5,746,257.548095
-5,677,257.829354
-5,860,258.191839
-5,827,258.535591
-5,676,258.83246
-5,869,259.191836
-4,793,259.522971
-5,621,259.788637
-5,707,260.085508
-5,542,260.304258
-4,1125,260.791766
-5,529,261.013632
-5,623,261.279257
-5,981,261.685507
-5,679,261.966771
-5,580,262.216757
-5,863,262.579324
-5,685,262.860574
-5,1084,263.329323
-5,626,263.597041
-5,831,263.940841
-5,975,264.362716
-5,700,264.659607
-5,603,264.909592
-5,824,265.255297
-5,799,265.599046
-5,738,265.914832
-5,752,266.227332
-5,585,266.480521
-4,883,266.857673
-3,950,267.263927
-5,647,267.529549
-5,636,267.798332
-5,481,268.001458
-5,489,268.204598
-4,800,268.548333
-5,657,268.829586
-5,800,269.160806
-5,750,269.48893
-5,683,269.77018
-5,748,270.08268
-5,948,270.492094
-4,653,270.759836
-5,867,271.13482
-5,653,271.400463
-5,539,271.63482
-5,529,271.856685
-5,974,272.262936
-4,841,272.62231
-5,780,272.950437
-5,670,273.233712
-5,606,273.483712
-5,712,273.780587
-4,1083,274.249337
-5,620,274.502495
-5,597,274.76817
-4,718,275.065044
-5,783,275.393171
-5,852,275.755751
-5,866,276.115129
-2,1308,276.677624
-5,802,277.005753
-5,738,277.321413
-4,1049,277.758894
-5,821,278.118265
-4,1294,278.651541
-5,850,279.010917
-4,738,279.323418
-5,758,279.651541
-5,829,279.997386
-5,739,280.309881
-5,794,280.638006
-3,1208,281.156836
-5,854,281.519406
-5,724,281.816281
-5,441,282.003782
-5,1212,283.808461
-4,766,284.217736
-4,859,285.642479
-5,722,286.036101
-5,630,286.360877
-5,905,287.8325
-5,702,288.194878
