#{"t_start": 1657122720.3781674, "env_id": "SlimeVolley-v0"}
r,l,t
1.28,628,121.48773
2.39,739,122.297759
0.55,555,122.832734
-0.21,479,123.269732
-0.51,449,123.770763
0.52,552,124.275846
0.87,587,124.849844
0.8,580,125.399817
0.19,519,125.939817
0.24,524,126.45783
-0.02,498,126.937818
0.86,586,127.487077
0.14,514,128.011076
0.84,584,128.621603
2.21,721,129.346605
0.86,586,129.918602
2.75,775,130.711609
1.79,679,131.405147
2.81,681,132.051378
0.92,592,132.615421
1.36,636,133.271378
0.27,527,133.805378
1.31,631,134.394378
0.51,551,134.931996
0.09,509,135.442964
4.42,842,136.264965
-0.2,480,136.760966
1.23,623,137.425963
2.31,631,138.070964
1.0,600,138.656965
2.19,719,139.359967
-0.86,414,139.745964
-0.09,491,140.265966
1.6,660,140.930963
0.79,579,141.512964
-0.85,415,141.921968
0.14,514,142.462965
0.58,558,142.982964
1.3,630,143.598979
-0.8,420,144.019966
0.15,515,144.563965
0.17,517,145.061971
1.22,622,145.648963
0.6,560,146.143994
-0.64,436,146.610481
-0.28,472,147.072483
-0.46,454,147.501487
1.03,603,148.067482
-0.03,497,148.567485
1.31,631,149.179483
4.06,806,149.943455
-0.54,446,150.376455
0.1,510,150.892457
0.36,536,151.449998
2.32,632,152.048015
0.93,593,152.625996
2.55,655,153.290044
2.81,681,153.983018
2.28,628,154.569017
0.55,555,155.102013
0.52,552,155.74003
0.29,529,156.248013
0.25,525,156.761042
-0.26,474,157.212013
1.45,645,157.899044
0.38,538,158.432074
2.46,646,159.11203
0.51,551,159.655033
-0.68,432,160.158033
0.22,522,160.672036
1.47,647,161.320035
0.64,564,161.883031
0.14,514,162.404033
0.57,557,162.96703
-0.15,485,163.442033
4.67,767,164.224062
3.85,785,165.071031
0.01,501,165.595573
-0.13,487,166.103569
-0.33,467,166.560598
2.04,704,167.293837
0.62,562,167.858879
-0.6,440,168.328853
0.62,562,168.878854
3.46,746,169.605854
0.58,558,170.177855
-0.54,446,170.620851
1.52,552,171.185854
3.76,776,172.055855
3.23,823,172.885852
0.03,503,173.382882
0.51,551,173.953867
-0.04,496,174.465854
2.52,752,175.223852
-0.5,450,175.660857
1.83,683,176.338853
2.92,792,177.139405
0.74,574,177.761976
-0.88,412,178.182983
1.17,517,178.723972
0.12,512,179.254538
0.45,545,179.835534
3.23,723,180.523564
1.09,609,181.124536
-0.86,414,181.628053
0.54,554,182.223062
1.62,662,182.847051
2.8,780,183.61405
1.42,642,184.283051
0.3,530,184.885053
0.74,574,185.455057
1.66,666,186.149057
-0.1,490,186.691052
-0.05,495,187.166052
-0.08,492,187.662263
1.19,519,188.190234
0.66,566,188.804235
0.56,556,189.366239
3.3,730,190.145275
1.67,667,190.870239
1.95,695,191.679178
0.94,594,192.38218
-0.3,470,192.844179
1.15,615,193.49819
1.4,640,194.210181
1.06,606,194.818697
-0.34,466,195.300695
1.25,625,195.932696
-0.69,431,196.400726
1.07,607,197.067228
2.81,681,197.784226
2.76,776,198.515227
1.32,632,199.20843
0.89,589,199.836399
0.34,534,200.342401
-0.37,463,200.7844
-0.42,458,201.2914
0.38,538,201.858404
0.66,566,202.391407
0.5,550,202.907403
1.07,607,203.542399
0.39,539,204.117478
0.17,517,204.603566
1.66,566,205.149567
2.68,668,205.874538
1.4,640,206.541052
2.19,719,207.25405
-0.21,479,207.720053
0.31,531,208.260054
1.18,618,208.907397
0.27,527,209.472397
2.29,629,210.151411
3.54,754,210.973413
-0.49,451,211.399411
1.35,635,212.111412
5.91,991,213.081413
0.72,572,213.695981
-0.98,402,214.078982
-0.38,462,214.567261
-0.19,481,215.075261
1.25,625,215.777263
-0.34,466,216.305517
0.78,578,216.888546
2.18,718,217.654514
0.01,501,218.208514
-0.19,481,218.690511
-1.07,393,219.081514
0.32,532,219.602511
-0.04,496,220.123514
1.88,688,220.833543
-0.78,422,221.272515
1.01,601,221.922519
-0.17,483,222.571554
2.12,712,223.34254
0.37,537,223.97114
2.74,674,224.662141
-0.15,485,225.233144
-0.28,472,225.806139
0.73,573,226.43114
-0.21,479,226.92714
-0.47,453,227.437137
2.91,791,228.302138
2.04,704,229.035255
1.07,607,229.68826
0.17,517,230.232259
-0.06,494,230.750232
0.1,510,231.302231
0.02,502,231.847228
0.82,582,232.501245
-0.65,435,232.966243
-0.25,475,233.463244
1.88,688,234.220272
-0.53,447,234.752244
0.71,571,235.38127
-0.49,451,235.861251
0.54,554,236.441755
-0.93,407,236.915752
1.6,660,237.615782
-0.27,473,238.108758
-0.07,493,238.625755
0.0,500,239.213825
0.64,564,239.866835
-0.28,472,240.341794
0.97,597,240.986823
-0.3,470,241.5568
3.38,838,242.448671
3.61,761,243.234669
-0.56,444,243.675666
2.14,714,244.448666
0.14,514,244.965671
1.79,679,245.675183
-0.16,484,246.236211
2.08,708,246.993198
-0.19,481,247.499223
-0.36,464,247.981194
1.85,585,248.679205
1.27,627,249.392195
-0.18,482,249.933194
1.02,602,250.636223
0.76,576,251.253195
1.75,675,252.020199
1.21,621,252.712194
0.58,558,253.283195
0.43,543,253.869192
0.37,537,254.498195
2.0,700,255.282192
2.46,746,256.135194
1.1,510,256.728196
1.68,668,257.468194
3.56,756,258.283654
