#{"t_start": 1657000094.4394138, "env_id": "SlimeVolley-v0"}
r,l,t
1.01,601,167.748045
1.65,665,168.144136
1.53,653,169.714328
1.41,641,170.106252
3.31,731,170.539256
2.17,717,172.188219
0.41,541,172.541221
0.32,532,172.847221
2.64,764,173.289235
4.62,862,174.945104
4.5,850,175.450104
2.38,638,177.093158
-0.18,482,177.388435
5.33,933,177.943412
-1.06,394,178.178444
-0.13,487,179.785436
1.32,632,180.156472
5.57,957,180.719477
0.3,530,182.174656
0.8,580,182.511654
0.92,592,182.863724
1.5,650,184.481707
3.76,876,185.011735
4.34,934,186.763203
-0.13,487,187.077229
2.15,715,187.49823
1.78,678,187.89523
5.17,917,189.594728
1.89,689,190.000057
-0.23,477,190.281057
-0.08,492,191.725029
0.79,579,192.068065
0.61,561,192.43503
0.45,545,194.05003
0.18,518,194.384288
4.54,954,194.95628
3.24,824,196.578291
-0.34,466,196.853317
0.85,485,197.139333
1.1,610,197.499326
1.58,658,199.066316
6.56,1056,199.69152
0.67,567,201.170494
2.14,614,201.556495
1.42,642,201.9375
2.52,752,202.374495
0.76,576,203.902853
1.49,649,204.288853
1.39,539,204.607862
0.14,514,206.039827
1.06,606,206.402587
1.17,617,206.765971
6.09,1009,208.564809
1.17,617,208.929809
1.03,503,209.227846
1.87,687,210.782808
0.84,584,211.136763
1.82,682,211.547774
1.84,684,213.129734
0.8,580,213.495742
-0.49,451,213.764801
0.49,549,214.090805
0.44,544,215.651779
-0.15,485,215.949808
-0.33,467,216.231811
2.05,705,216.648953
1.29,629,218.23493
1.18,618,218.602929
4.68,768,219.060126
0.77,577,220.548096
3.06,706,220.97436
4.01,901,221.505383
1.72,672,223.062147
2.06,706,223.466147
4.13,913,225.148357
2.62,762,225.633391
0.25,525,225.94756
6.45,1145,227.910136
1.67,667,228.311151
-0.21,479,228.596344
2.11,711,230.194312
0.74,574,230.537505
1.32,632,230.903519
5.37,1037,232.660669
3.82,782,233.123677
0.36,536,233.438854
-0.74,426,234.872024
1.57,657,235.289054
0.43,543,235.610054
0.55,555,235.938259
1.73,673,237.498273
1.85,685,237.899272
2.61,761,238.346443
-0.15,485,239.814443
0.59,559,240.144443
1.96,696,240.554433
0.65,565,242.108633
3.52,752,242.567531
2.22,722,242.997523
1.6,560,244.585511
2.15,715,245.026575
2.8,780,245.487915
1.65,665,247.066168
1.64,664,247.456198
2.54,754,247.898206
0.74,574,249.499014
1.01,601,249.856058
5.11,1011,250.454044
-0.14,486,252.030207
2.8,680,252.442056
2.62,762,252.89506
0.86,586,254.407215
1.85,685,254.815252
3.76,876,255.330465
1.14,614,256.817476
1.28,628,257.18866
-0.43,457,257.462668
1.46,646,258.990809
2.11,711,259.433012
4.73,973,260.014003
-0.43,457,261.45898
1.21,621,261.837003
2.12,612,262.199054
1.06,606,262.556042
3.29,729,264.192016
4.19,919,264.724041
1.31,631,266.247836
1.39,639,266.628894
2.32,632,267.001088
2.72,672,268.619267
2.85,785,269.096285
3.22,822,269.755286
2.99,799,270.137286
-0.29,471,270.3633
2.41,641,270.6713
2.1,710,271.0093
0.79,579,271.286302
5.57,1057,271.797321
1.45,645,272.109321
1.02,602,272.398321
4.06,906,272.831321
2.06,706,273.172337
2.16,716,273.514335
3.02,802,273.903332
4.99,899,274.342628
2.98,798,274.732638
4.8,880,275.161636
0.67,567,275.442628
6.4,940,275.905601
1.15,615,276.209628
2.22,722,276.563919
3.43,743,276.929929
3.2,720,277.285971
2.24,724,277.644187
0.91,591,277.934375
4.46,846,278.352571
6.35,1135,278.911168
4.91,991,279.391204
4.46,946,279.853055
2.7,770,280.226084
-0.2,480,280.457055
3.72,872,280.877027
1.05,605,281.173256
2.53,753,281.542533
1.16,616,281.841749
4.44,944,282.303751
3.12,712,282.650748
2.29,729,283.005926
4.89,889,283.438941
1.11,611,283.737351
1.2,620,284.045388
6.83,1083,284.587396
0.97,597,284.883361
2.24,724,285.244398
3.3,730,285.604388
0.69,569,285.880387
1.12,612,286.178402
3.59,759,286.549218
0.54,554,286.820246
1.56,656,287.140253
3.99,799,287.528244
-0.36,464,287.755245
1.44,644,288.068248
3.3,830,288.473245
0.84,584,288.758254
3.75,875,289.182452
2.73,773,289.560466
0.14,514,289.810454
1.32,632,290.118453
0.12,512,290.369486
0.31,531,290.628457
3.79,879,291.057873
0.63,563,291.330873
1.8,680,291.660877
1.2,620,291.961877
5.97,1097,292.500068
1.84,584,292.786274
1.05,605,293.082284
8.48,1048,293.598526
1.19,619,293.902527
2.22,722,294.255537
1.81,681,294.588498
0.47,547,294.853498
2.93,793,295.240498
2.2,720,295.583498
4.01,901,296.013526
4.91,991,296.496581
0.09,509,296.742602
0.18,518,296.993547
2.95,795,297.381546
2.38,638,297.692545
2.92,692,298.025585
3.78,878,298.456573
5.46,946,298.9216
1.71,671,299.2446
2.23,623,299.5426
1.19,619,299.841625
3.28,728,300.193625
2.46,746,300.558624
1.27,627,300.867633
3.26,826,301.273633
0.7,570,301.557827
3.5,850,301.976863
1.03,603,302.271826
4.72,772,302.647237
4.34,934,303.10168
2.77,677,303.429657
0.31,531,303.687659
2.93,793,304.073722
-0.17,483,304.307712
2.19,719,304.650719
0.05,505,304.967679
3.98,898,308.719056
1.18,618,309.162058
0.11,511,309.515057
1.08,608,311.269472
3.58,858,311.780473
0.95,595,312.13251
5.03,1003,313.949509
5.81,1081,314.594491
2.26,726,316.225509
3.54,854,316.727831
-0.58,442,316.987212
2.21,721,318.663212
2.42,742,319.10163
0.25,525,319.412652
2.58,758,321.063661
2.2,720,321.48686
0.04,504,321.781862
0.69,569,323.299807
0.91,591,323.642806
1.02,602,323.988807
1.63,663,325.541027
1.72,672,325.969061
2.0,700,326.385062
4.62,862,328.088856
3.13,713,328.517886
0.53,553,328.845937
5.92,992,330.63282
0.65,565,330.964792
3.2,720,331.389015
5.48,948,333.157885
-0.27,473,333.43686
1.4,640,333.81386
2.88,788,335.626391
-0.42,458,335.896382
1.64,664,336.287382
0.67,567,337.752161
0.42,542,338.080167
2.29,729,338.507369
0.85,585,338.850442
3.24,724,340.450432
2.62,762,340.914627
3.41,841,342.628828
6.53,1053,343.265867
6.07,1107,345.230001
2.28,728,345.66403
2.96,696,346.078022
0.62,562,347.560042
0.42,542,347.886086
3.0,700,348.296269
1.08,608,349.855316
4.76,976,350.440419
3.81,881,350.963588
0.75,575,352.485604
1.48,648,352.867614
2.42,742,353.304603
1.93,693,354.996399
1.85,685,355.396399
2.41,741,355.827399
1.67,667,357.388368
1.11,611,357.741367
2.64,764,358.180367
1.81,681,359.897553
4.65,965,360.475527
4.33,833,362.248526
3.46,846,362.739527
2.05,705,363.146528
4.41,941,364.899529
4.18,918,365.440447
1.86,686,367.030421
1.14,614,367.401459
6.22,922,367.955473
3.29,829,369.620853
-0.52,448,369.881853
3.89,889,370.40502
-0.67,433,371.849213
1.15,615,372.213241
5.84,984,372.794269
5.0,900,374.48624
8.16,1316,376.412438
2.57,757,376.877704
1.29,629,377.252696
3.95,895,378.976145
5.37,1037,379.586365
2.5,750,381.202302
6.16,1116,381.87034
2.31,731,382.303329
2.86,786,383.994516
4.28,928,384.547732
4.89,889,386.248163
5.2,920,386.790851
4.47,947,388.568823
5.84,1084,389.215066
5.15,1015,390.968041
7.21,1221,391.687041
3.66,866,393.455207
3.32,832,393.953237
2.09,709,394.37952
4.0,900,396.139772
2.4,740,396.565897
4.0,800,398.188804
1.4,640,398.585048
1.21,621,398.952048
4.35,935,400.684673
1.83,683,401.089902
2.28,728,401.52391
0.48,548,403.036872
1.69,669,403.430901
1.98,698,403.83891
4.57,857,405.544909
2.69,769,405.999939
-0.28,472,406.279948
6.82,1182,408.191008
2.76,776,408.642009
2.55,755,410.298007
5.73,973,410.882043
4.46,946,412.644398
3.78,878,413.173424
0.7,570,413.507423
4.92,992,415.285445
-0.34,466,415.55945
0.83,583,415.903446
3.94,894,417.617039
3.55,855,418.127028
5.29,1029,419.916002
5.64,1064,420.544219
0.22,522,420.84921
2.43,743,422.471188
0.64,564,422.804184
2.89,789,423.272393
3.38,838,424.989367
1.26,626,425.478367
2.49,749,425.847407
0.94,594,426.141587
7.16,1216,426.742465
4.67,967,427.219529
5.95,1095,427.759702
4.45,845,428.176697
2.22,722,428.532432
2.43,743,428.89644
2.13,713,429.242396
3.34,834,429.649424
3.83,883,430.079655
1.22,622,430.382653
0.7,570,430.658654
1.95,695,430.997663
2.27,627,431.302708
5.49,949,431.764098
4.78,978,432.241292
0.97,597,432.532321
2.5,750,432.897294
6.7,1170,433.469321
2.15,715,433.816329
4.71,971,434.29432
2.15,715,434.648295
3.54,854,435.07033
1.58,658,435.394321
1.16,616,435.69432
1.99,699,436.035329
4.79,979,436.510321
2.18,718,436.860323
1.34,634,437.168335
3.12,812,437.562538
-0.06,494,437.803524
3.8,880,438.232523
3.79,879,438.662532
2.39,739,439.023523
4.44,944,439.486572
1.72,672,439.810781
2.42,742,440.169756
6.22,1022,440.663782
1.99,699,441.000771
3.64,764,441.370749
3.71,871,441.793786
0.81,581,442.078782
4.07,907,442.524884
2.06,606,442.820885
5.11,911,443.271113
2.97,797,443.664159
2.46,746,444.032351
1.59,659,444.35657
3.74,874,444.788752
-0.72,428,445.000761
3.92,792,445.393739
1.7,670,445.719756
4.51,951,446.182752
3.28,828,446.587783
4.57,957,447.052797
2.56,756,447.420783
0.62,562,447.694759
3.02,802,448.084782
1.36,636,448.394759
1.96,696,448.733782
4.27,927,449.183782
1.25,625,449.48878
0.81,581,449.771783
2.97,797,450.158961
3.57,857,450.578961
3.08,808,450.977149
0.32,532,451.241149
6.87,987,451.730187
5.97,997,452.220198
4.78,978,452.696242
3.2,820,453.09524
2.39,739,453.456244
1.77,677,453.784217
4.34,834,454.19065
0.34,534,454.449648
2.93,793,454.837659
4.8,980,455.31466
2.41,741,455.673649
1.39,639,455.981845
3.68,868,456.399846
7.62,1062,456.911043
2.72,772,457.285086
2.81,781,457.665149
7.29,1229,458.260989
1.47,647,458.578987
8.28,1128,459.136199
8.45,1145,459.702518
4.0,800,460.098515
2.1,710,460.448515
0.34,534,460.712515
4.52,952,461.182561
2.8,780,461.567568
0.57,557,461.843544
5.82,1082,462.371958
6.1,910,462.81798
2.83,683,463.149982
1.76,676,463.47998
3.55,855,463.895001
8.41,1341,467.952334
4.77,977,468.653811
2.44,744,469.253075
3.2,720,470.932104
0.06,506,471.23229
3.15,815,471.712301
3.59,859,473.464297
0.13,513,473.774264
