#{"t_start": 1658138944.8868062, "env_id": null}
r,l,t
-5,447,3956.005635
2,671,3975.553931
2,685,3995.382648
5,462,4009.227581
-3,644,4028.411679
-1,823,4053.528407
-1,739,4075.549505
-1,737,4101.04877
-2,639,4119.934578
-3,592,4137.227812
1,794,4160.750808
3,532,4176.466532
4,448,4189.572999
3,577,4206.578797
4,520,4221.772991
2,683,4241.24545
1,819,4259.874536
-2,686,4274.753542
-1,750,4290.688576
-1,773,4308.77814
-4,512,4324.108312
2,685,4344.320244
-1,788,4367.171411
3,598,4385.025554
-2,612,4404.861139
4,473,4422.728439
3,569,4444.307899
4,549,4464.320593
2,659,4489.111276
3,591,4510.662719
-1,766,4538.996671
3,566,4559.905613
-1,911,4584.661817
-1,759,4605.409492
3,626,4618.840322
1,742,4634.736652
-3,636,4648.050912
-3,631,4661.335693
-4,462,4671.189729
-1,770,4687.834056
4,476,4697.46656
-2,826,4714.859723
-2,596,4727.282559
2,632,4741.27938
-1,768,4757.014955
3,599,4769.196533
4,570,4781.158052
-3,606,4794.217387
-2,682,4808.375044
-2,683,4822.635329
1,800,4839.845681
2,622,4853.582191
-3,644,4867.351141
2,612,4879.7306
1,783,4895.642368
-5,440,4905.048109
3,597,4918.310708
3,552,4929.655681
2,669,4943.843379
1,731,4959.065642
-3,589,4971.173147
3,624,4984.249945
-4,526,4994.962699
1,732,5010.487193
4,511,5021.025672
1,724,5035.972795
-1,794,5052.329308
3,703,5067.130127
-1,676,5080.89345
-1,704,5095.434967
3,560,5107.298907
-3,531,5118.339503
-4,514,5128.810622
-4,584,5140.716544
-1,826,5158.112281
-1,709,5173.11526
1,822,5190.092323
-4,494,5200.203122
3,553,5211.854042
3,628,5225.393289
-2,728,5240.511671
-2,651,5253.798789
-1,810,5270.541507
-4,488,5281.705283
2,678,5296.181461
-4,484,5306.239529
5,404,5314.729171
1,757,5330.488239
2,642,5344.113158
2,700,5358.296162
4,631,5371.232746
2,811,5388.412872
-4,629,5401.65616
-3,544,5413.097596
-1,780,5429.252846
-1,804,5446.239409
-5,401,5454.711902
1,680,5469.076662
4,500,5479.63839
2,683,5498.864035
-2,610,5514.462663
2,612,5530.324697
-1,816,5548.058538
4,459,5548.351541
3,600,5548.76454
-1,819,5549.279537
-3,634,5549.706541
-5,394,5549.952859
-4,583,5550.33586
1,750,5550.833649
-1,782,5551.341654
2,654,5551.771657
3,591,5552.19791
-1,717,5552.689155
-2,707,5553.13315
-3,609,5553.537153
2,674,5554.013152
2,698,5554.515149
-2,700,5554.973154
4,561,5555.351194
2,635,5555.786217
-1,789,5556.331192
3,579,5556.738219
-4,474,5557.070194
2,622,5557.488191
3,643,5557.91936
-5,425,5558.209354
1,677,5558.713356
5,424,5559.012354
2,723,5559.528538
5,375,5559.79554
3,669,5560.263539
3,569,5560.675539
-3,592,5561.039541
-4,533,5561.385567
-3,561,5561.74872
-1,820,5562.275558
1,760,5562.811558
1,784,5563.322557
3,564,5563.711556
3,627,5564.148558
5,507,5564.49556
-5,441,5564.819557
2,657,5565.249556
-3,552,5565.611556
1,736,5566.098556
-2,698,5566.557558
-3,637,5566.994554
2,675,5567.412555
3,587,5567.833556
-3,681,5568.295793
-2,625,5568.716818
3,553,5569.098795
1,740,5569.6061
-2,601,5570.039102
-4,467,5570.370261
3,645,5570.860263
3,627,5571.26327
2,642,5571.681267
-2,693,5572.128263
-2,772,5572.672265
-1,721,5573.141265
-3,564,5573.545645
3,563,5573.954671
-1,826,5574.58865
-1,745,5575.113415
2,619,5575.55441
2,629,5575.991419
3,537,5576.349414
-2,668,5576.819416
2,692,5577.297415
-4,487,5577.635581
2,614,5578.065576
-2,654,5578.514581
-3,567,5578.868577
-5,398,5579.147577
1,758,5579.652576
-5,444,5579.92358
1,714,5580.40358
-1,753,5580.898576
5,418,5581.181608
-5,401,5581.441318
5,457,5581.748285
2,645,5582.160455
1,776,5582.68832
-2,676,5583.154336
2,672,5583.583336
-1,670,5584.039516
-3,661,5584.530519
-3,681,5585.027755
5,414,5585.287716
2,663,5585.734715
-2,847,5586.33072
1,748,5586.809715
-2,653,5587.231904
-4,537,5587.603908
2,668,5588.067904
5,475,5588.424058
2,683,5588.875209
-5,448,5589.188373
1,739,5589.754413
5,408,5590.042376
4,562,5604.394492
1,797,5624.914836
1,774,5644.354674
4,516,5657.292389
3,587,5671.7899
4,459,5683.179677
4,475,5695.05668
2,722,5712.943003
2,633,5728.816302
-1,702,5746.104801
-3,561,5759.774009
2,714,5777.216676
4,480,5788.714718
1,802,5808.319102
-1,903,5830.303706
2,639,5845.832088
-1,856,5866.843956
3,593,5882.886787
4,503,5895.900158
4,538,5909.574204
3,584,5924.530396
1,782,5944.31822
1,768,5963.384851
-1,765,5982.276943
4,563,5996.346269
-2,611,6011.679584
3,583,6025.751183
-2,692,6042.601686
4,567,6056.298807
4,502,6068.767236
-1,813,6089.018619
5,452,6100.250141
-3,562,6114.305655
-4,496,6126.8484
1,822,6146.815063
3,646,6162.675278
-1,907,6184.785114
-3,565,6199.035784
2,693,6215.998468
-2,661,6232.449868
2,732,6250.494539
3,624,6266.67018
2,707,6284.662563
1,818,6305.4398
1,700,6323.223283
-5,407,6333.265965
-3,546,6346.453475
-1,758,6364.871511
1,786,6383.80031
1,753,6403.310825
3,610,6418.953085
1,732,6437.923631
-5,388,6447.953894
-1,759,6467.502439
2,687,6484.943317
4,456,6496.819875
-1,732,6515.363194
1,773,6534.354564
1,695,6551.374425
-1,760,6569.881622
3,613,6584.574322
-3,598,6600.422355
-1,840,6621.590528
2,728,6640.325339
1,686,6657.76043
-2,666,6675.170942
4,506,6687.927765
-2,677,6704.809254
-2,696,6722.311034
-1,769,6742.325671
4,487,6754.593126
2,660,6771.387975
-3,582,6786.286381
-1,842,6807.309748
1,888,6829.011205
2,751,6847.229543
2,692,6863.905591
-4,518,6876.908584
-2,680,6893.664842
-3,606,6908.58718
-3,605,6923.532928
1,822,6944.982305
-1,874,6967.060502
3,587,6981.951178
2,677,6999.118865
2,776,7018.372867
-3,567,7032.453497
2,700,7049.758808
-1,957,7073.097015
5,446,7084.533408
-3,542,7098.127649
-4,540,7111.727609
3,640,7127.727251
-1,770,7146.882856
2,719,7164.389699
3,580,7178.457805
-1,784,7197.705544
2,691,7214.853856
-1,885,7236.157592
4,455,7247.289396
2,665,7263.847611
2,791,7283.680003
5,538,7296.900379
3,693,7314.058826
2,612,7329.367263
3,627,7345.737239
4,592,7360.133947
3,612,7375.152412
-3,752,7393.868801
2,725,7412.52299
5,404,7422.664372
-5,442,7433.624281
-2,709,7451.377879
-4,495,7463.871552
3,691,7480.867117
3,523,7493.657638
-3,574,7507.716717
-2,614,7523.632975
-3,557,7537.587355
-1,817,7558.224628
-3,552,7572.318395
3,616,7587.903581
3,554,7601.693597
4,573,7615.924211
-3,601,7630.969412
-2,699,7648.306424
2,721,7665.814972
-1,763,7684.37253
-3,538,7697.577971
2,639,7714.277419
2,676,7731.082713
-5,435,7741.945523
-1,817,7762.234909
-2,714,7779.923948
3,641,7795.460877
-1,997,7819.924571
-4,454,7831.083579
2,694,7849.400526
-3,604,7865.06533
-4,525,7878.502563
-1,768,7898.248088
2,624,7914.552931
4,490,7927.146154
3,604,7942.752354
1,696,7960.503529
2,648,7977.271147
-2,646,7993.508071
2,693,8010.919892
2,687,8028.369564
-3,559,8042.24343
4,507,8054.560783
-2,690,8071.410697
-3,545,8084.822391
-1,778,8091.097432
-1,769,8091.598457
1,727,8092.069429
3,705,8092.545432
1,736,8093.007427
-2,770,8093.562427
-3,538,8093.918258
3,549,8094.326452
3,579,8094.719458
5,436,8095.044449
4,493,8095.353451
1,715,8095.83148
-3,617,8096.256482
2,707,8096.751568
4,464,8097.043568
-2,705,8097.498568
-3,639,8097.925038
3,610,8098.342808
3,751,8098.840071
2,732,8099.290797
3,561,8099.653956
2,652,8100.057545
