#{"t_start": 1654887123.7000287, "env_id": "SlimeVolley-v0"}
r,l,t
-5,1091,130.259678
-5,483,130.699777
-5,583,131.173535
-5,598,131.736834
-5,524,132.264704
-4,653,132.882197
-5,518,133.317959
-5,547,133.94107
-5,488,134.368753
-5,450,134.789793
-5,758,135.451541
-5,612,136.154947
-5,493,136.567981
-5,559,137.07918
-5,597,137.610226
-5,846,138.56018
-5,615,139.104955
-5,536,139.578212
-4,705,140.188404
-5,617,140.878232
-5,686,141.456487
-5,629,142.019384
-5,539,142.472801
-5,831,143.33879
-5,579,143.842777
-5,613,144.399741
-5,553,144.865632
-5,623,145.537684
-5,641,146.092501
-5,495,146.546493
-5,498,146.968689
-5,583,147.519255
-5,618,148.14722
-5,433,148.562263
-5,759,149.28264
-5,746,150.063644
-2,1308,151.209255
-4,695,151.847137
-5,766,152.54499
-5,475,153.048586
-5,539,153.541104
-5,577,154.08884
-5,480,154.503592
-5,561,155.084644
-5,499,155.55165
-5,490,156.034758
-5,612,156.55486
-5,442,156.993374
-5,563,157.578609
-5,495,158.020891
-5,641,158.577259
-5,528,159.160215
-5,630,159.748081
-5,578,160.273324
-5,457,160.658674
-5,513,161.186927
-5,516,161.718729
-5,816,162.481297
-5,609,163.040572
-5,637,163.666654
-4,757,164.299613
-5,579,164.862012
-4,803,165.575297
-4,639,166.209175
-5,404,166.568836
-5,509,167.039117
-5,779,167.767048
-5,486,168.338323
-5,659,168.902631
-5,653,169.48928
-5,751,170.180209
-5,473,170.665591
-5,696,171.291024
-5,505,171.76309
-5,504,172.198945
-5,453,172.654238
-5,432,173.111424
-5,496,173.549411
-5,936,174.452109
-5,718,175.159938
-5,790,175.83276
-3,628,176.415083
-5,468,176.809008
-5,660,177.530566
-4,570,178.019612
-5,645,178.589593
-5,458,178.992038
-5,536,179.594581
-5,505,180.046611
-5,552,180.552119
-5,611,181.095845
-5,561,181.712543
-5,517,182.187266
-5,651,182.811415
-5,720,183.495525
-5,496,184.04904
-4,779,184.777087
-5,667,185.408036
-5,423,185.795886
-5,581,186.47982
-5,439,186.893252
-5,491,187.370137
-4,656,187.930273
-5,607,188.60223
-5,467,189.011859
-5,458,189.408137
-5,616,189.958647
-5,695,190.710247
-5,950,191.557576
-5,460,192.001025
-5,594,192.538579
-5,589,193.200931
-5,625,193.717256
-5,462,194.179407
-5,739,194.815957
-5,718,195.597675
-5,756,196.243594
-5,648,196.81536
-5,530,197.289946
-5,427,197.783506
-5,486,198.240617
-5,736,198.904017
-5,595,199.503635
-5,614,200.18861
-5,624,200.757761
-5,548,201.273916
-5,465,201.7031
-5,539,202.323089
-5,818,203.125818
-5,571,203.682194
-5,448,204.084453
-5,525,204.681967
-5,561,205.18647
-5,482,205.647682
-5,510,206.059529
-5,611,206.758187
-5,499,207.208561
-5,560,207.714657
-5,540,208.217254
-5,551,208.822272
-5,543,209.324292
-5,470,209.775458
-5,546,210.274127
-5,641,211.031683
-5,459,211.463558
-5,755,212.140642
-5,649,212.763361
-4,733,213.545219
-5,746,214.218308
-5,763,214.959986
-5,546,215.614044
-5,496,216.177817
-5,604,216.721967
-5,518,217.193857
-5,657,217.792186
-5,614,218.507881
-5,427,218.873714
-4,717,219.535501
-5,408,219.887419
-5,670,220.640656
-5,640,221.202519
-4,793,221.944723
-5,582,222.493665
-5,630,223.174522
-5,578,223.67367
-5,537,224.169547
-4,1051,225.323794
-5,723,225.963359
-5,631,226.527623
-5,460,226.975009
-4,591,227.506235
-5,550,228.1698
-5,510,228.636256
-5,474,229.053653
-5,803,229.734822
-5,726,230.534808
-5,577,231.084464
-5,638,231.731683
-5,610,232.275677
-5,416,232.770492
-5,520,233.199886
-5,563,233.751386
-5,691,234.439511
-5,559,235.048008
-5,603,235.591735
-5,551,236.14309
-5,482,236.571969
-5,701,237.348354
-5,673,237.977435
-5,526,238.493778
-5,704,239.136392
-5,426,239.636064
-5,559,240.123406
-5,543,240.639489
-5,731,241.308054
-5,411,241.811713
-5,589,242.348643
-5,464,242.785854
-4,726,243.429729
-5,642,244.168481
-5,483,244.584243
-4,949,245.401376
-5,537,245.957906
-5,695,246.671468
-5,682,247.322972
-5,495,247.801872
-5,424,248.177581
-5,505,248.691835
-4,688,249.407149
-5,589,249.963567
-5,456,250.364008
-5,803,251.231569
-5,557,251.7585
-4,588,252.287962
-5,566,252.811889
-5,432,253.371397
-5,455,253.820426
-5,702,254.488861
-5,545,255.006231
-4,627,255.737939
-5,627,256.323465
-5,650,256.943256
-5,560,257.492174
-5,746,258.279849
-5,477,258.694299
-5,519,259.209675
-5,406,259.597297
-5,567,260.243632
-5,580,260.794358
-5,458,261.270859
-5,931,262.144609
-5,525,262.734226
-5,398,263.150361
-4,880,263.916358
-5,526,264.426028
-5,534,265.0194
-5,655,265.628154
-4,884,266.422718
-5,581,266.983918
-5,561,267.59399
-5,811,268.351659
-4,674,269.006431
-5,534,269.508765
-5,602,270.198959
-5,505,270.639659
-4,762,271.35009
-5,663,272.016336
-5,553,272.608843
-5,441,273.006211
-5,714,273.709034
-4,792,274.479011
-5,611,275.141664
-4,625,275.713329
-5,593,276.286914
-5,704,276.973922
-5,493,277.548506
-4,689,278.150687
-5,426,278.561375
-5,665,279.161488
-5,872,280.15584
-5,493,280.580402
-5,532,281.090598
-5,472,281.537725
-5,516,282.154195
-5,666,282.816002
-5,618,283.436418
-5,623,284.052056
-5,797,284.925745
-5,701,285.544546
-5,716,286.27187
-4,864,287.285114
-5,573,287.819099
-5,576,288.355325
-5,536,288.859673
-5,506,289.32269
-5,666,290.098043
-5,589,290.638888
-5,560,291.196186
-5,699,291.896039
-5,520,292.485507
-4,772,293.161752
-3,663,293.797322
-5,685,294.487548
-5,463,295.005886
-5,561,295.518715
-5,511,296.013939
-5,497,296.500414
-5,679,297.321567
-5,643,297.941231
-5,550,298.464061
-5,738,299.194745
-5,773,300.031559
-5,419,300.394364
-5,523,300.885514
-5,545,301.396655
-5,730,302.247438
-5,609,302.832143
-4,765,303.562612
-5,528,304.104106
-4,745,304.891093
-5,546,305.405733
-5,547,305.952902
-5,737,306.762223
-5,729,307.543023
-5,597,308.063401
-5,541,308.591879
-5,639,309.183802
-5,818,310.093474
-5,643,310.701648
-5,633,311.332972
-5,658,312.046725
-5,589,312.713893
-5,614,313.323053
-4,546,313.830301
-5,576,314.371964
-5,603,315.037642
-5,741,315.697063
-4,1044,316.697982
-5,514,317.298611
-5,635,317.913179
-5,588,318.453587
-5,588,319.014172
-5,712,319.738383
-5,588,320.397564
-5,874,321.175376
-4,543,321.70893
-5,803,322.544502
-4,637,323.261833
-4,640,323.867878
-5,649,324.515741
-5,603,325.16949
-5,494,325.739723
-4,615,326.324254
-5,923,327.249859
-5,473,327.7463
-5,564,328.348038
-4,728,329.040752
-5,662,329.688303
-5,568,330.229495
-5,443,330.769429
-5,657,331.431388
-5,520,331.916214
-5,554,332.44647
-5,636,333.194089
-5,684,333.826005
-5,583,334.378318
-3,761,335.1588
-5,415,335.647144
-5,433,336.045027
-5,598,336.67232
-5,672,337.456161
-4,655,338.133412
-4,715,338.824439
-5,588,339.417712
-5,774,340.292377
-5,779,341.109703
-5,457,341.529117
-5,710,342.216938
-5,958,343.250805
-5,491,343.711233
-5,578,344.226405
-5,615,344.861443
-5,673,345.498631
-5,946,346.500699
-5,422,346.897075
-5,587,347.453434
-5,446,347.843801
-5,431,348.316904
-5,896,349.216802
-5,458,349.692923
-5,955,350.678064
-3,925,351.597501
-4,762,352.297472
-5,590,352.882437
-5,479,353.304226
-5,508,353.975901
-5,509,354.448726
-5,731,355.177112
-5,627,355.807174
-5,824,356.676341
-5,622,357.248096
-5,557,357.774367
-5,630,358.379299
-5,558,359.051903
-5,524,359.562504
-4,831,360.380241
-5,653,361.116108
-4,655,361.753608
-5,632,362.35519
-5,496,362.851066
-4,520,363.338671
-5,444,363.902531
-4,733,364.66286
-5,625,365.275835
-5,507,365.760057
-5,616,366.515281
-5,670,367.176756
-5,653,367.837493
-5,534,368.397972
-5,676,369.156666
-5,750,369.849069
-5,695,370.503071
-5,592,371.115511
-5,720,371.930752
-5,617,372.493427
-5,591,373.042593
-5,537,373.566573
-5,504,374.226103
-5,672,374.901154
-5,595,375.490324
-5,394,375.857485
-5,661,376.643612
-5,544,377.190754
-5,410,377.600096
