#{"t_start": 1655309891.3992147, "env_id": "SlimeVolley-v0"}
r,l,t
-5,521,231.018726
-5,518,231.732777
-4,945,233.005923
-5,543,233.649742
-5,643,234.601561
-5,538,235.237705
-5,579,235.980561
-5,494,236.570272
-5,595,237.274275
-5,662,238.090751
-5,666,238.882983
-5,571,239.64249
-5,599,240.473568
-5,583,241.202941
-5,613,241.936305
-5,494,242.562636
-5,639,243.342027
-5,455,243.931032
-5,477,244.535142
-5,590,245.229581
-5,530,245.924843
-5,448,246.575054
-5,477,247.146712
-5,449,247.812976
-3,900,249.016
-5,415,249.512746
-5,461,250.146131
-5,673,250.937047
-5,511,251.565253
-5,792,252.501748
-5,456,253.077402
-5,470,253.630985
-5,533,254.246565
-4,568,255.012022
-5,747,255.986953
-5,398,256.449601
-5,609,257.179274
-5,621,257.95946
-5,537,258.598185
-5,595,259.293361
-5,499,259.915802
-5,714,260.923443
-5,427,261.409732
-5,443,262.060081
-5,521,262.735562
-5,491,263.31915
-5,551,264.098293
-5,484,264.672333
-5,632,265.548383
-5,767,266.535686
-5,512,267.184002
-3,822,268.169995
-5,542,268.836418
-5,470,269.379466
-5,633,270.13308
-5,642,271.006786
-5,553,271.753426
-5,662,272.598548
-5,616,273.430783
-5,461,273.980368
-5,490,274.580384
-5,467,275.140305
-5,488,275.727813
-5,609,276.460341
-5,442,276.990025
-5,623,277.742745
-5,492,278.328127
-5,614,279.068208
-3,628,279.846565
-5,732,280.724043
-5,682,281.600269
-5,558,282.294551
-5,531,283.057384
-5,446,283.565484
-5,403,284.136391
-5,661,284.951018
-5,695,285.760249
-5,657,286.552629
-5,581,287.243049
-5,490,287.860331
-5,679,288.674119
-5,482,289.265232
-5,455,289.898465
-5,508,290.482765
-5,506,291.148483
-5,585,291.896269
-5,570,292.565417
-5,885,293.727917
-5,777,295.31482
-5,668,296.35254
-5,459,297.083817
-5,591,297.874048
-4,628,298.758175
-5,647,299.999011
-5,475,300.765832
-5,728,301.838175
-5,623,302.625852
-5,483,303.1471
-4,688,304.066997
-5,596,304.89452
-5,484,305.695479
-5,519,306.297226
-5,824,307.208511
-5,425,307.67506
-5,617,308.332206
-5,557,308.960346
-5,587,309.597993
-5,513,310.133011
-4,733,310.983365
-5,606,311.648801
-5,405,312.120187
-5,539,312.706331
-5,437,313.185467
-5,447,313.658531
-5,599,314.324031
-5,533,314.908628
-5,582,315.590688
-5,635,316.280889
-5,526,316.894889
-5,484,317.766888
-5,441,318.395933
-5,609,319.217292
-5,461,320.357907
-5,412,321.111695
-5,513,322.280091
-5,638,323.444612
-4,684,324.551337
-5,567,325.383944
-5,604,326.077057
-5,583,326.746243
-5,602,327.542334
-5,570,328.294343
-5,470,328.816387
-5,501,329.424727
-5,541,330.041154
-5,540,330.824763
-5,439,331.428848
-5,720,332.577525
-5,579,333.381959
-5,718,334.235161
-5,489,334.854277
-5,757,335.720464
-5,892,336.836364
-5,426,337.565601
-5,628,338.279723
-5,591,338.920884
-5,386,339.363218
-5,486,339.891369
-5,616,340.59307
-5,615,341.274105
-5,600,341.981261
-5,573,342.592436
-4,707,343.417864
-5,564,344.10995
-4,771,344.952113
-5,636,345.675316
-4,767,346.5299
-5,474,347.049055
-4,678,347.797532
-5,621,348.489132
-5,428,348.962267
-5,613,350.226808
-3,1008,351.536505
-5,429,352.528098
-5,796,354.250291
-5,608,355.729342
-5,524,356.658976
-5,411,357.298658
-5,542,358.185362
-5,466,358.766521
-5,646,360.235636
-3,645,361.763361
-5,584,363.176652
-5,510,364.157109
-5,586,365.280235
-5,658,366.355649
-5,427,366.811821
-5,552,367.450092
-5,588,368.121465
-5,499,368.743562
-5,627,369.443451
-5,705,370.228954
-5,514,370.799606
-5,607,371.479041
-5,675,372.230278
-5,489,372.80333
-5,576,373.639501
-5,663,374.412725
-4,786,375.283086
-5,482,375.829542
-5,444,376.329881
-4,551,377.081955
-5,454,377.712345
-5,695,378.868565
-5,518,379.615707
-5,566,380.365508
-5,427,380.841959
-5,553,381.458645
-4,771,382.311111
-5,855,383.330448
-5,609,384.018441
-5,736,384.881512
-5,528,385.496364
-5,542,386.102683
-5,770,386.960257
-5,736,387.795011
-5,523,388.527147
-5,586,389.545269
-5,451,390.102015
-4,728,390.979277
-5,594,391.734314
-5,620,392.428743
-4,641,393.426527
-5,520,394.274172
-5,430,395.039918
-5,554,395.734482
-5,798,397.014285
-4,629,398.308913
-5,498,399.428227
-5,719,400.723005
-5,458,401.879215
-5,539,403.187162
-5,910,405.00142
-5,667,406.344671
-5,461,407.383245
-5,451,408.068177
-4,647,409.211406
-5,546,410.219947
-5,420,410.912361
-5,519,411.803026
-5,450,412.524018
-5,437,413.406925
-5,549,414.259686
-5,487,415.051028
-4,729,416.324194
-5,611,417.324619
-5,580,418.083779
-5,415,418.655744
-5,705,419.499776
-5,558,420.100812
-5,598,420.909812
-4,675,421.996809
-5,687,423.100848
-5,557,423.991845
-5,404,424.492876
-5,624,425.360438
-4,834,426.607691
-5,488,427.448496
-4,596,428.813505
-4,630,430.242052
-5,544,431.036037
-5,440,431.640392
-5,632,432.499388
-5,540,433.212392
-5,488,433.733355
-5,576,434.458811
-5,523,435.07473
-5,382,435.49191
-5,408,435.948053
-5,580,436.598813
-5,466,437.112329
-5,504,437.659205
-5,599,438.346464
-5,484,438.878712
-5,596,439.529919
-5,386,440.115101
-5,422,440.844646
-5,705,442.085647
-5,481,443.084684
-5,427,443.785649
-5,740,445.251646
-5,531,445.941695
-5,463,446.601694
-5,538,447.557735
-5,653,448.698701
-5,509,449.441698
-5,799,450.602734
-5,506,451.341731
-5,651,452.193732
-5,519,452.969715
-5,551,453.960735
-5,542,455.093712
-5,448,455.882699
-5,478,456.934763
-5,503,457.934761
-5,594,458.792818
-5,621,459.931844
-5,811,461.54934
-5,565,462.368351
-5,701,463.141393
-5,751,463.97836
-5,429,464.516385
-5,417,464.97644
-5,458,465.479469
-5,655,466.207866
-5,777,467.183857
-5,628,467.864858
-5,539,468.463859
-5,624,469.163821
-5,784,470.060841
-5,606,470.762388
-5,505,471.307405
-5,596,471.983394
-5,542,472.640397
-4,637,473.345395
-5,517,473.917451
-5,633,474.609578
-5,493,475.233552
-5,559,475.877598
-5,414,476.361639
-5,440,476.849066
-5,613,477.540624
-5,538,478.143597
-5,472,478.666595
-5,674,479.412638
-5,596,480.066704
-5,507,480.622738
-5,513,481.183674
-5,544,481.785714
-5,535,482.413674
-4,601,483.093675
-5,660,483.808748
-5,476,484.343756
-4,540,484.932745
-5,506,485.47976
-5,566,486.089749
-5,542,486.692731
-5,699,487.50475
-4,718,488.300758
-5,742,489.132758
-5,598,489.797759
-4,699,490.568758
-5,422,491.016767
-5,699,491.789761
-5,450,492.340768
-4,765,493.186412
-5,551,493.785509
-5,500,494.319544
-5,690,495.110602
-5,531,495.706575
-5,492,496.229611
-5,496,496.798602
-5,450,497.299668
-5,517,497.913668
-5,459,498.513634
-5,668,499.269634
-5,542,499.864157
-5,477,500.447233
-5,514,500.990932
-5,451,501.486925
-5,404,501.928966
-4,707,502.7014
-5,386,503.165429
-5,522,503.736444
-5,529,504.323492
-5,392,504.774444
-5,453,505.264473
-4,610,505.947474
-5,455,506.449479
-5,633,507.132342
-5,524,507.727848
-5,550,508.339861
-5,503,508.88083
-5,473,509.414895
-5,540,510.008907
-5,834,510.971942
-5,638,511.709967
-5,513,512.32796
-4,514,512.903013
-5,785,513.766119
-5,556,514.357127
-5,593,515.027088
-5,531,515.616084
-5,599,516.27008
-5,449,516.817088
-5,556,517.459745
-5,540,518.058777
-5,478,518.588809
-5,530,519.177825
-5,781,520.03586
-5,587,520.681696
-5,495,521.224738
-5,417,521.701775
-5,612,522.410833
-5,508,522.975839
-4,630,523.716841
-5,562,524.315877
-5,537,524.909456
-5,584,525.577026
-5,569,526.190075
