x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball
0.20271,0.15000,0.00000,0.00000,-0.47741,1.35431,0.62029,0.19629
1.25785,0.38319,0.00000,0.80553,1.05987,0.73076,1.00445,-1.78710
1.26307,0.33142,-1.75000,-0.88011,1.24807,0.68376,-0.93041,0.79929
0.20000,0.16678,0.00000,-0.00154,-1.63592,1.22440,-0.43837,0.91901
0.49343,0.15000,1.75000,0.00000,0.07431,0.82849,1.92205,0.15002
0.94259,0.45569,-1.75000,-0.32257,0.82576,1.07930,-1.11571,0.86194
0.20546,0.46075,0.00000,0.01290,-1.21550,0.65529,1.43148,1.63804
0.21006,0.47528,0.00000,-0.00949,-0.06246,0.81328,-1.58894,1.18581
0.54278,0.15284,1.75000,0.00336,0.30945,0.53126,2.17029,-0.43438
0.20000,0.39785,0.00000,0.08282,-0.61159,0.84001,0.31716,0.84809
0.69805,0.32434,-1.75000,1.00865,0.39006,1.04942,-0.82324,-0.97644
1.65840,0.29567,0.00000,-0.98158,1.69719,0.65139,0.30116,0.27216
0.20000,0.31871,0.00000,-0.92854,-0.39240,1.04769,-1.46785,0.68982
0.20295,0.45271,0.00000,0.00513,-0.54565,0.91148,1.30970,-1.24184
1.01259,0.15729,0.00000,0.00151,0.68320,0.92895,1.51269,-0.81665
0.20553,0.16033,0.00000,0.00326,-2.02392,1.14065,-0.13284,1.28043
0.20054,0.36626,0.00000,-0.77363,-0.31710,0.77777,1.39521,1.56345
0.83606,0.15000,0.00000,0.00000,0.48263,1.39091,-0.42706,-0.26699
0.20340,0.46469,0.00000,-0.25990,-0.50181,0.78950,1.86702,0.75917
1.18100,0.35769,0.00000,0.89071,0.98528,0.90718,-1.07777,-1.04434
1.15107,0.35870,1.75000,0.87714,1.13154,0.66391,0.78841,1.88948
0.98070,0.39895,-1.75000,0.00003,0.34147,0.54232,1.85545,-1.03045
0.50578,0.24320,1.75000,-1.13147,0.12355,1.03395,1.54101,0.24126
0.20000,0.47012,0.00000,-0.13903,-1.36945,0.69400,0.49772,2.03251
0.91407,0.23999,-1.75000,-1.13699,0.88047,0.53681,-1.21375,-0.54352
1.93625,0.30952,0.00000,-0.92582,-0.23590,1.71553,-0.50324,0.38930
1.17107,0.15331,1.75000,-0.00042,0.81264,1.03841,1.35352,-0.90227
0.37531,0.23411,-1.75000,-1.15579,0.20942,0.94980,-1.71667,0.66041
0.70415,0.34879,0.00000,0.92850,0.58891,0.63163,-0.59848,1.93702
0.58102,0.21393,0.00000,-0.01292,0.01866,1.24539,0.82016,1.90403
0.96402,0.16070,0.00000,0.00066,0.58728,1.12867,1.30371,-0.61893
2.25000,0.15000,0.00000,0.00000,2.22699,1.29104,-0.34096,-0.87434
0.45455,0.19902,1.75000,0.01786,0.09601,1.12221,-0.40159,-0.60174
0.20000,0.45948,0.00000,0.30555,-1.05947,0.53182,1.78237,4.97995
0.75635,0.34690,-1.75000,0.93471,0.37029,1.31887,-1.00693,-0.43511
1.91236,0.44016,-1.75000,-0.31076,1.84145,1.21000,-0.63654,0.86266
1.17099,0.32894,-1.75000,0.99546,1.07316,0.52786,-1.30198,1.80722
1.59452,0.36726,-1.75000,0.86056,1.35211,1.24738,-0.17013,-0.86850
0.20000,0.21522,0.00000,1.30221,-0.97292,0.79426,-1.92545,-0.54247
0.20054,0.24830,0.00000,-1.11931,-2.20921,0.61131,0.53806,-2.00522
0.48074,0.15000,1.75000,0.00000,-0.06737,1.26210,1.00775,-0.08813
0.82876,0.36936,0.00000,-0.76105,0.57380,1.24253,-0.98921,0.58777
0.68350,0.29558,-1.75000,1.08182,-0.10479,1.28017,-1.66019,1.22280
0.58570,0.41862,1.75000,-0.08492,0.00709,1.16334,-0.62751,2.12270
0.94733,0.47690,-1.75000,-0.08472,0.67035,1.03644,-0.84141,-1.42672
0.23712,0.21111,0.00000,1.31169,-0.51987,1.10241,1.14751,-0.80015
0.52237,0.47568,-1.75000,-0.10545,0.37202,0.75613,-1.93700,0.81374
0.24665,0.42491,0.00000,0.62574,-0.04776,0.89579,0.00078,-1.42466
1.73901,0.15551,1.75000,-0.01350,1.62698,0.49261,1.07381,-0.27486
0.21511,0.43191,0.00000,-0.47886,-1.82821,0.80410,-1.36396,0.27339
0.20028,0.15075,0.00000,0.00088,-1.39110,1.40553,-0.18820,0.26949
2.14237,0.27935,-1.75000,1.13266,2.16659,0.56185,-1.39226,-0.62492
0.20339,0.15192,0.00000,0.00101,-0.58114,0.92814,-1.63696,-0.65829
0.20277,0.15130,0.00000,-0.00047,-0.82047,1.34537,0.27087,0.63392
0.20000,0.40493,0.00000,0.70701,-1.55514,0.42974,-2.11410,0.34496
0.75533,0.46856,0.00000,0.28396,0.54159,0.85051,-1.17984,1.47373
2.01054,0.31771,0.00000,-0.07603,-0.01321,1.47257,-0.14480,1.07388
0.84083,0.41894,-1.75000,-0.05169,0.06232,1.25956,1.28295,1.38154
1.70346,0.15071,0.00000,-0.00005,1.48908,1.31720,-0.62628,0.49216
0.37473,0.17660,1.75000,-0.00441,0.15146,0.74236,1.14248,1.38767
0.20806,0.22290,0.00000,-1.18260,-1.20727,0.70489,-0.40775,1.88496
0.91236,0.20841,1.75000,1.31787,0.73036,0.60152,1.05799,-0.64875
0.20000,0.21508,0.00000,-1.20263,-1.90308,0.89097,1.17328,1.35170
0.20075,0.43839,0.00000,0.55434,-1.20503,0.67805,-1.87992,-1.13666
1.31368,0.23333,-1.75000,-1.15752,1.26162,0.97414,-1.46442,0.16858
1.77876,0.21155,1.75000,-0.08700,1.60544,1.23074,-0.75515,0.41391
0.20000,0.28522,0.00000,-1.02245,-0.61733,0.76243,-1.56660,-0.51301
0.20000,0.29830,0.00000,1.08748,-1.41504,1.27439,0.00032,-0.64025
2.03593,0.41731,-1.75000,0.65353,2.09057,0.75777,-0.86585,1.72106
2.04369,0.41726,0.00000,0.66093,1.89366,1.03224,0.07858,-1.20454
0.52647,0.32675,0.00000,1.00406,0.14364,0.80750,1.28797,-1.31805
0.20302,0.34305,0.00000,-0.84402,-1.06829,0.75882,2.01572,0.55678
1.14313,0.36517,1.75000,-0.25234,-2.03357,0.86730,-1.08673,1.51313
1.51219,0.41540,0.00000,0.23716,-1.05994,0.92706,-0.66615,-2.00070
1.85441,0.38264,1.75000,-0.49586,-0.48710,1.70483,-0.73657,-0.19419
1.28461,0.15000,1.75000,0.00000,0.99532,1.35317,-0.07308,-0.33804
0.20633,0.46553,0.00000,0.08915,-0.33441,0.62939,3.31687,1.68243
1.08767,0.32283,0.00000,-0.90066,0.85662,0.61269,-0.68216,-2.05837
0.55514,0.34031,-1.75000,-0.84351,0.24761,1.27761,-0.29576,0.21774
0.34963,0.21648,0.00000,-1.19943,-0.13804,1.12934,1.32424,0.25680
0.23023,0.45042,0.00000,-0.37129,0.07428,0.97610,-1.24295,1.46245
1.68450,0.38600,0.00000,-0.69501,1.56498,1.16117,-0.91986,1.03180
1.60938,0.40913,-1.75000,-0.24964,1.55573,1.12265,-1.02000,0.62434
1.08448,0.34990,1.75000,0.85748,-1.88952,0.86568,0.08112,-1.48098
0.20203,0.24072,0.00000,0.02111,-2.18961,0.65608,1.58037,-0.41445
0.66076,0.15000,0.00000,0.00000,0.24070,1.31716,0.86022,-0.16573
1.51576,0.28532,-1.75000,-1.00802,-0.00793,1.25069,0.78671,1.29759
0.54621,0.26666,0.00000,1.17067,0.22254,1.05145,-1.08905,-0.78262
