x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball,x_opponent,y_opponent,xdot_opponent,ydot_opponent
0.20000,0.39148,0.00000,0.77596,-0.25912,0.99324,-1.50470,-0.76915,0.75398,0.15000,1.75000,0.00000
0.20000,0.15707,0.00000,-0.00117,-1.54947,1.24297,-0.15619,0.71420,1.65113,0.44457,0.00000,-0.33874
0.20877,0.38012,0.00000,0.81766,-0.19105,0.99125,-0.18939,-1.23018,0.51639,0.40984,0.00000,0.69258
0.21960,0.46890,0.00000,0.18999,-1.45605,0.85506,-0.59443,-1.80071,1.63735,0.45418,0.00000,0.40948
0.92536,0.36784,1.75000,0.85503,0.88036,0.69846,0.55301,1.88702,0.20000,0.25149,0.00000,0.00309
0.20000,0.39783,0.00000,0.73841,-0.88251,0.75427,0.91744,-0.77734,0.99552,0.42407,0.00000,0.61228
1.67197,0.29361,0.00000,-0.05376,0.00250,1.54269,-0.00465,1.16512,0.39680,0.15000,1.75000,0.00000
0.21034,0.29032,0.00000,1.10309,-2.22941,1.43968,-0.22136,0.28833,2.24897,0.15000,0.00000,0.00000
1.02560,0.42852,-1.75000,0.59867,0.70261,1.28676,-0.87588,-0.78768,0.20097,0.24322,0.00000,1.23186
0.79635,0.26121,-1.75000,1.18247,0.47550,1.24486,-1.25576,-0.10000,0.28889,0.15000,0.00000,0.00000
0.54821,0.46959,-1.75000,0.10986,0.47556,0.86319,-1.47494,1.00078,0.20798,0.35157,0.00000,-0.82215
0.20000,0.30067,0.00000,-0.96801,-2.11174,0.77503,-0.52019,1.59248,2.10634,0.41207,1.75000,0.66135
0.23146,0.15154,0.00000,0.00035,-0.46883,1.16992,0.86475,-0.67135,0.80137,0.23680,-1.75000,1.24769
0.61279,0.15615,1.75000,-0.00109,0.07479,1.13731,0.87917,-0.75822,0.35252,0.27399,-1.75000,1.15237
1.40146,0.37456,-1.75000,0.01967,0.00510,1.24232,0.79634,1.30450,0.22872,0.24337,0.00000,-0.05630
0.56649,0.42869,-1.75000,0.59650,0.23543,1.06878,0.21265,-1.31011,0.21432,0.40319,0.00000,0.72337
0.26157,0.40495,-1.75000,-0.61319,0.11547,0.90448,-1.78000,0.24139,0.41347,0.16503,1.75000,0.00197
1.03794,0.31076,0.00000,1.05043,0.84177,0.59969,1.43305,-1.64555,0.20000,0.47337,0.00000,0.25757
0.95498,0.26793,0.00000,1.16921,0.83778,0.43585,-1.73986,3.69202,0.20000,0.36904,0.00000,0.82902
1.76829,0.41392,1.75000,-0.00910,0.16483,1.36645,0.20170,-1.28531,0.33224,0.38356,0.00000,0.76688
0.82569,0.26160,0.00000,-1.08523,0.52564,1.37129,-0.65087,0.78999,0.20519,0.27953,0.00000,-1.03623
0.20238,0.46309,0.00000,0.38286,-1.25470,0.63327,-1.73092,-1.34403,1.49627,0.15000,1.75000,0.00000
0.20000,0.31892,0.00000,-0.06347,-1.71436,0.96849,1.47092,0.24135,1.65881,0.42068,-1.75000,-0.34047
0.20120,0.44165,0.00000,-0.26188,-0.86426,0.66065,0.65183,2.11657,0.91038,0.41489,-1.75000,0.65646
0.20010,0.15000,0.00000,0.00000,-0.61389,1.30222,0.71469,0.22802,0.87750,0.29746,-1.75000,-0.98668
0.43631,0.46309,-1.75000,0.30518,0.24943,0.71804,0.83856,-1.93162,0.20877,0.45628,0.00000,-0.30703
0.44005,0.24659,0.00000,-1.12073,0.04065,0.97603,1.56796,0.08133,0.20108,0.36360,0.00000,-0.77566
1.48210,0.22347,0.00000,1.28151,1.17965,1.37476,-0.38446,-0.33158,0.20000,0.15000,0.00000,0.00000
0.23459,0.15063,0.00000,-0.00064,-0.24727,1.28427,-1.20310,0.04781,0.68057,0.15000,1.75000,0.00000
0.40848,0.15000,1.75000,0.00000,-0.14523,1.20453,1.28393,0.55536,0.45361,0.23942,-1.75000,-1.14175
1.51107,0.47023,1.75000,0.26669,1.42272,0.95855,-0.23993,1.72023,0.20000,0.43182,0.00000,-0.48172
0.20000,0.46806,0.00000,0.30974,-1.14076,0.59494,1.83829,2.60722,1.25591,0.42523,0.00000,0.61566
0.20601,0.46875,0.00000,-0.08709,-0.80202,0.87744,1.20186,1.57940,0.84039,0.47274,-1.75000,-0.15521
0.37335,0.34885,1.75000,-0.83242,0.01738,1.01766,1.37150,1.04044,0.26055,0.44768,0.00000,-0.38635
0.39210,0.35942,-1.75000,-0.79625,0.28808,1.01851,-1.39938,0.02389,0.32323,0.15087,0.00000,0.00020
1.77772,0.31278,-1.75000,-0.91117,0.81208,1.61166,1.43413,-0.07657,0.20085,0.15000,0.00000,0.00000
0.71365,0.46045,0.00000,-0.28639,0.29864,1.09621,-1.08553,0.97185,0.21522,0.38255,0.00000,-0.70999
0.22629,0.46311,0.00000,0.31106,-0.70076,1.02769,-0.84054,-1.27439,1.05944,0.35296,0.00000,0.91657
1.88506,0.40595,0.00000,-0.58874,1.79624,0.67334,-0.03026,-2.08772,0.20000,0.37123,0.00000,-0.74990
0.70309,0.48012,0.00000,0.07301,0.47915,0.93468,-0.46385,-1.62369,0.20000,0.46318,0.00000,0.37483
1.62552,0.41078,-1.75000,-0.49906,0.37388,1.51085,1.30507,0.68608,0.25749,0.15213,0.00000,-0.00400
0.22283,0.21275,0.00000,1.30756,-0.30193,1.20456,-1.24162,-0.31587,0.72447,0.15000,0.00000,0.00000
0.21012,0.27134,0.00000,-1.05383,-0.84406,0.69376,2.06869,0.66639,1.00785,0.47439,-1.75000,0.19830
0.20000,0.37793,0.00000,0.82805,-1.81723,1.38553,-0.47449,-0.45733,2.12179,0.15000,1.75000,0.00000
0.20000,0.37350,0.00000,-0.74788,-0.48257,0.80771,-1.95507,0.16898,0.62403,0.44585,1.75000,-0.40602
0.20000,0.24409,0.00000,-1.12760,-2.15937,1.01452,-0.83412,1.02791,2.16347,0.47782,0.00000,0.16440
1.31182,0.44528,0.00000,0.50763,1.21950,0.91743,-0.04862,1.52708,0.20000,0.46808,0.00000,0.04965
0.53238,0.25150,1.75000,0.10203,0.00054,1.30899,-0.87118,0.24496,0.54474,0.15000,0.00000,0.00000
1.37701,0.43315,1.75000,-0.44308,1.24015,1.21668,0.03357,0.72772,0.20000,0.43791,0.00000,-0.44685
1.60093,0.31632,1.75000,-0.90847,-0.01691,1.22183,-1.62222,1.49404,0.67780,0.22583,1.75000,0.04983
0.20000,0.46754,0.00000,-0.22187,-0.63631,0.86991,1.17613,1.33062,0.88919,0.46980,0.00000,0.30764
1.64704,0.15000,0.00000,0.00000,1.52367,1.11896,-1.21190,0.08841,0.20000,0.15098,0.00000,-0.00100
0.20501,0.40962,0.00000,-0.58907,0.01687,0.81474,0.06061,1.71116,0.20000,0.24972,0.00000,-1.11465
0.20812,0.15000,0.00000,0.00000,-1.26747,1.42899,-0.27955,-0.24273,1.57447,0.15000,1.75000,0.00000
1.11734,0.22019,1.75000,1.28982,0.77990,0.77381,1.67731,-1.05994,0.20000,0.34726,0.00000,0.93436
0.75323,0.16033,0.00000,0.01362,0.31512,1.20906,1.32119,-0.30850,0.22425,0.23684,0.00000,1.24803
0.20000,0.20206,0.00000,-0.00929,-1.41553,0.97527,1.31630,-0.05840,1.43212,0.37774,0.00000,-0.72352
1.60865,0.40783,0.00000,-0.19180,-0.42252,1.05247,0.97225,-0.59110,0.70511,0.33061,-1.75000,0.93781
0.84924,0.24822,-1.75000,-1.11439,0.84119,0.65673,-0.69418,0.33537,0.20000,0.31616,0.00000,-0.92198
1.76232,0.42269,0.00000,-0.51946,1.71818,1.20202,0.61426,1.09751,0.20000,0.30493,0.00000,-0.96312
0.20000,0.32232,0.00000,-0.91073,-1.82654,1.15690,-1.05258,0.88260,1.86593,0.43061,1.75000,-0.48510
0.62527,0.45768,-1.75000,0.41343,0.51165,0.69667,-1.64173,1.36432,0.20000,0.47359,0.00000,0.25485
0.50373,0.24247,0.00000,0.01167,0.19599,1.18799,0.53470,0.84951,0.23517,0.16112,0.00000,-0.00207
1.44413,0.47001,-1.75000,0.15008,1.32859,0.63730,-3.31519,1.56534,0.20000,0.45126,0.00000,-0.28931
