x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball,x_opponent,y_opponent,xdot_opponent,ydot_opponent
1.20000,0.42933,-1.75000,-0.51200,0.36180,1.95872,0.49337,0.00561,0.79167,0.15000,0.00000,0.00000
1.25833,0.40900,1.75000,-0.61000,0.37825,1.95564,0.49337,-0.09239,0.79167,0.15000,0.00000,0.00000
1.31667,0.38540,1.75000,-0.70800,0.39469,1.94929,0.49337,-0.19039,0.79167,0.19500,0.00000,1.35000
1.31667,0.35853,0.00000,-0.80600,0.41114,1.93968,0.49337,-0.28839,0.73333,0.23673,-1.75000,1.25200
1.37500,0.32840,1.75000,-0.90400,0.42758,1.92680,0.49337,-0.38639,0.67500,0.27520,-1.75000,1.15400
1.37500,0.29500,0.00000,-1.00200,0.44403,1.91065,0.49337,-0.48439,0.61667,0.31040,-1.75000,1.05600
1.43333,0.25833,1.75000,-1.10000,0.46048,1.89124,0.49337,-0.58239,0.55833,0.34233,-1.75000,0.95800
1.49167,0.21840,1.75000,-1.19800,0.47692,1.86856,0.49337,-0.68039,0.50000,0.37100,-1.75000,0.86000
1.55000,0.17520,1.75000,-1.29600,0.49337,1.84261,0.49337,-0.77839,0.44167,0.39640,-1.75000,0.76200
1.55000,0.15000,0.00000,0.00000,0.50981,1.81340,0.49337,-0.87639,0.38333,0.41853,-1.75000,0.66400
1.60833,0.19500,1.75000,1.35000,0.52626,1.78092,0.49337,-0.97439,0.32500,0.43740,-1.75000,0.56600
1.60833,0.23673,0.00000,1.25200,0.54270,1.74518,0.49337,-1.07239,0.26667,0.45300,-1.75000,0.46800
1.66667,0.27520,1.75000,1.15400,0.55915,1.70616,0.49337,-1.17039,0.26667,0.46533,0.00000,0.37000
1.60833,0.31040,-1.75000,1.05600,0.57559,1.66388,0.49337,-1.26839,0.20833,0.47440,-1.75000,0.27200
1.66667,0.34233,1.75000,0.95800,0.59204,1.61834,0.49337,-1.36639,0.20000,0.48020,0.00000,0.17400
