#{"t_start": 1658063674.9395127, "env_id": null}
r,l,t
-1,759,114.601753
-1,816,115.468751
-2,680,116.145753
3,622,116.781761
2,656,117.455032
1,866,118.406626
-2,700,119.074143
-1,769,119.838145
5,379,120.202151
4,517,120.731145
3,605,121.402142
1,709,122.123664
-5,408,122.533665
-1,746,123.339666
-4,474,123.795665
-4,485,124.271663
3,662,124.86968
-3,548,125.38468
1,770,126.196258
-1,809,126.993816
5,398,127.356812
-1,717,128.134844
4,474,128.555844
1,744,129.215847
3,551,129.712855
-1,794,130.489806
2,703,131.128808
-2,612,131.71381
-2,620,132.301805
4,539,132.88788
1,728,133.628398
3,611,134.180683
-2,771,134.875695
-3,564,135.371266
3,629,136.036271
-1,809,136.809266
3,600,137.355267
-3,629,137.983264
-3,627,138.550265
-1,806,139.311275
1,763,140.143266
-3,534,140.647268
-4,507,141.106284
2,722,141.828268
-2,683,142.47778
-1,748,143.303778
5,383,143.683779
4,489,144.19978
-2,627,144.780778
2,661,145.416781
3,581,146.071308
1,688,146.718308
-2,662,147.35631
3,649,148.056306
-2,669,148.698379
-3,687,149.346361
3,589,149.91236
-5,390,150.296362
-1,723,151.078361
3,552,151.614359
-3,571,152.178362
-5,422,152.578891
1,812,153.439889
-4,468,153.923891
-2,612,154.534888
-3,660,155.2469
3,587,155.834759
4,533,156.391642
2,646,157.02064
-1,784,157.809644
-2,628,158.475645
2,761,159.215642
-2,718,159.972642
-3,565,160.538644
4,458,161.004681
-1,726,161.756204
4,547,162.273847
-3,569,162.928929
-3,642,163.558467
-5,407,163.933986
1,697,164.584261
1,703,165.34183
-4,493,165.774832
1,800,165.977833
4,489,166.067836
-2,720,166.184858
-4,556,166.27887
1,781,166.403873
2,752,166.524844
-1,785,166.658835
-1,866,166.805832
-2,648,166.911831
2,697,167.03187
-4,451,167.109871
4,538,167.195871
-5,420,167.272361
2,633,167.375395
-3,603,167.484397
-4,500,167.57036
-2,619,167.68536
2,715,167.852362
1,763,167.98936
-4,544,168.0834
2,798,168.209374
3,553,168.307386
3,624,168.413397
-4,539,168.503387
-3,576,168.597422
4,471,168.680397
4,481,168.762396
3,513,168.8564
3,546,168.947357
-1,757,169.074278
1,753,169.198512
3,528,169.289511
1,730,169.403512
5,420,169.472513
3,600,169.57255
2,765,169.694512
-3,546,169.783538
-1,775,169.914556
-1,696,170.05055
-2,661,170.15954
5,427,170.232548
5,376,170.292553
1,829,170.432571
4,534,170.515554
4,540,170.60854
2,636,170.715541
-2,667,170.830515
-5,521,170.909512
3,608,171.014549
4,493,171.098553
3,571,171.19673
-4,553,171.289514
3,564,171.386572
-3,587,171.485667
2,700,171.601665
1,785,171.729667
-1,785,171.854695
4,519,171.939706
2,660,172.044714
-2,677,172.154672
-5,426,172.229669
2,677,172.341705
-5,431,172.411708
-2,632,172.513669
-4,472,172.592705
1,866,172.745266
3,604,172.848231
1,792,172.98126
-2,642,173.092253
-2,643,173.201229
3,573,173.301227
-1,773,173.435151
1,762,173.564163
3,580,173.660724
-5,378,173.728751
-1,710,173.849009
-3,718,173.967617
