#{"t_start": 1658053421.0426972, "env_id": null}
r,l,t
-3,594,0.19481
-2,669,0.330806
-5,475,0.406834
-1,743,0.514844
1,705,0.638287
-3,632,0.787609
1,758,0.899599
2,664,0.988597
-1,681,1.103606
2,648,1.200628
1,866,1.327022
-5,377,1.381022
4,510,1.49499
-3,581,1.594019
3,562,1.673023
-3,641,1.77903
-4,588,1.87102
1,712,1.982021
3,570,2.070472
4,477,2.144511
2,635,2.242531
-1,824,2.362508
3,555,2.450505
-3,591,2.541472
2,619,2.662586
-4,519,2.736621
-2,620,2.822585
2,640,2.917315
-4,544,3.013531
-4,538,3.12941
1,837,3.292472
-1,746,3.401946
-2,740,3.521419
-3,572,3.61008
3,551,3.694846
1,791,3.80694
-1,738,3.929129
2,805,4.067007
-2,615,4.155661
3,584,4.246531
5,439,4.322868
3,604,4.432111
3,580,4.525934
2,701,4.633228
1,733,4.754897
1,673,4.859116
-2,651,4.954981
3,612,5.061197
-2,669,5.189268
3,578,5.288105
1,670,5.394561
-3,611,5.485101
2,619,5.587448
3,538,5.671592
-1,775,5.788011
-5,367,5.850624
4,500,5.935495
-2,692,6.042544
2,665,6.137125
3,539,6.221323
2,792,6.356019
-3,586,6.44656
2,674,6.548545
3,576,6.632934
-4,504,6.722351
-3,538,6.806484
-3,703,6.912151
1,787,7.033042
-2,649,7.144972
-3,574,7.229383
4,476,7.298499
-2,616,7.389326
4,521,7.470887
1,780,7.592555
4,470,7.662572
-5,383,7.719329
3,570,7.810428
-1,695,7.914186
-4,566,7.998559
4,453,8.061574
-4,487,8.338987
-1,712,8.965235
-5,410,9.421408
4,528,10.021309
3,563,10.606876
5,450,11.018836
-3,585,11.650568
4,533,12.064098
5,402,12.436591
3,603,12.932047
3,614,13.526894
3,661,14.10426
2,639,14.713397
-2,660,15.370365
-4,532,15.814966
3,584,16.38071
-3,630,16.955324
4,628,17.481895
-3,583,18.044242
2,697,18.617056
-3,669,19.261093
-3,553,19.747437
-2,647,20.355641
-4,506,20.76693
-3,666,21.36711
4,530,21.815665
4,489,22.327923
4,483,22.776916
1,704,23.387666
5,424,23.752392
5,384,24.227705
5,443,24.610839
1,704,25.237012
3,605,25.769683
-4,496,26.271121
-1,788,26.934907
-2,704,27.570388
-4,484,27.972761
4,483,28.492517
-1,684,29.067101
3,637,29.675898
-1,766,30.476089
2,617,30.960156
4,586,31.45552
2,635,32.022241
-1,898,32.87756
1,744,33.535087
-3,532,33.978526
-1,703,34.675023
1,781,35.462028
-1,800,36.13772
-2,646,36.700489
2,624,37.26813
-3,619,37.836815
2,615,38.422115
1,829,39.170199
3,626,39.738513
-1,687,40.429971
-5,389,40.750282
2,674,41.311243
2,622,41.914075
1,770,42.700736
1,744,43.355637
2,629,43.914975
-1,714,44.532687
3,674,45.20064
-1,833,45.918132
-4,537,46.353426
-2,683,47.008241
2,789,47.8447
-1,771,48.51234
3,592,49.059242
5,448,49.46121
2,675,50.045272
2,617,50.67214
1,771,51.387657
2,622,51.935772
1,758,52.655744
-3,579,53.136481
3,699,53.720267
-4,586,54.266065
1,834,54.436233
-2,656,54.548842
1,771,54.669128
-2,712,54.793588
-1,817,55.011375
2,693,55.130053
2,685,55.244562
1,774,55.372314
3,551,55.463451
-1,773,55.589001
-2,611,55.687976
3,568,55.782828
-2,634,55.881876
3,531,55.966149
-3,640,56.067216
5,386,56.131255
-2,661,56.23573
-2,762,56.362186
-1,847,56.501031
-1,856,56.639216
3,552,56.731595
-2,633,56.835123
2,751,56.953613
-5,389,57.017365
3,572,57.115474
-3,664,57.222349
-2,695,57.332726
1,777,57.460269
2,647,57.5612
-3,592,57.655831
-1,736,57.78385
3,533,57.875058
-1,839,58.017164
-1,729,58.141858
-2,828,58.278996
-3,573,58.389191
-4,543,58.481231
-1,721,58.604609
-4,535,58.69479
-2,673,58.805932
-1,817,58.937531
3,554,59.029516
-2,713,59.153563
1,746,59.272385
4,535,59.361384
4,489,59.442364
3,554,59.529297
2,654,59.637287
-3,553,59.722385
5,459,59.797652
-1,765,59.916178
-2,734,60.032223
3,583,60.128295
2,671,60.238791
-2,696,60.352876
2,674,60.463121
3,638,60.568486
5,463,60.638021
3,577,60.727931
1,758,60.852715
1,770,60.97732
-4,473,61.05193
-1,739,61.176251
3,541,61.262198
1,713,61.381421
1,720,61.496684
-4,513,61.580497
4,556,61.67126
-1,765,61.797644
-2,693,61.915299
-3,635,62.017236
-5,396,62.080015
3,590,62.180341
4,480,62.259082
3,554,62.350821
5,388,62.420222
4,504,62.501054
1,755,62.626616
-1,703,62.739511
-3,672,62.85459
-3,611,62.966166
-3,591,63.071329
1,745,63.196734
5,405,63.266258
-3,549,63.355998
-1,784,63.479298
2,657,63.581943
-2,639,63.688952
-3,586,63.790718
-3,673,63.900089
4,528,63.983899
-2,651,64.084898
1,765,64.205839
2,707,64.327306
1,765,64.448557
1,741,64.565891
2,719,64.686288
4,514,64.768289
2,717,64.885278
3,595,65.45725
-4,490,65.882248
-3,586,66.67025
1,731,67.350254
1,702,68.018377
-1,731,68.743624
3,548,69.220337
2,768,69.868035
-3,596,70.418009
-4,576,70.910379
-5,387,71.342557
4,505,71.778859
-4,465,72.255546
5,467,72.656574
-1,944,73.573482
-2,736,74.195667
-1,767,74.924033
2,710,75.682899
-4,483,76.099407
-3,555,76.561097
-3,533,77.052525
1,683,77.668893
1,731,78.379655
3,622,78.921263
3,550,79.460253
2,737,80.139834
-2,701,80.811334
4,501,81.220184
-4,471,81.688538
4,483,82.094617
-4,483,82.59373
2,715,83.228952
-2,677,83.888715
4,503,84.355842
-4,529,84.884036
-2,724,85.497481
-3,559,86.040186
-5,473,86.447868
-2,606,87.110263
5,459,87.485809
-1,775,88.187652
1,833,89.013296
2,642,89.594344
2,683,90.164077
2,687,90.809716
2,688,91.519215
-1,757,92.137027
-1,790,92.801555
3,543,93.300612
3,633,93.848744
4,545,94.413319
-3,548,94.885053
-1,714,95.580002
-5,442,95.9839
4,460,96.463172
3,599,96.962381
-2,706,97.629945
-3,608,98.231049
3,562,98.754677
4,466,99.171429
2,648,99.811324
-2,572,100.421194
3,532,100.901627
3,589,101.40851
-2,662,102.028859
-2,667,102.643751
2,638,103.284919
3,615,103.843338
-5,397,104.235606
2,696,104.835709
-1,681,105.528826
3,621,106.056393
1,740,106.778677
4,538,107.37007
2,687,107.961051
5,408,108.301662
4,467,108.782932
3,540,109.261373
-1,703,110.002678
1,753,110.687941
-4,475,111.156503
1,695,111.764376
-1,743,112.852624
3,659,113.640752
1,740,114.470058
3,566,115.126129
-3,558,115.866488
-1,728,116.457203
1,742,117.163559
2,703,117.96348
-2,708,118.987475
-3,591,119.619477
-4,468,120.258478
2,699,121.317477
1,690,122.595011
-3,690,123.341006
2,649,124.115541
1,727,125.093521
3,590,125.981611
2,645,127.486609
-4,556,128.769727
-3,664,130.338913
-4,471,131.159882
-3,692,132.321861
-3,569,133.301861
1,745,134.698519
-5,448,135.331516
-1,819,136.520736
-1,746,137.605081
1,752,138.695113
-1,791,139.838859
3,645,140.78948
-5,425,141.466531
-1,835,142.71766
-2,666,143.786657
-4,459,144.447656
3,695,145.485293
2,615,146.566295
2,687,147.469946
2,672,148.388435
1,818,149.547952
1,715,150.719038
1,709,151.71605
-2,711,152.735049
-4,485,153.438049
1,712,154.560639
1,745,155.770654
-2,633,156.680038
-4,497,157.397036
-4,473,158.089032
1,755,159.250546
-3,594,160.148136
-3,610,161.019954
-1,723,162.204956
5,424,162.854957
2,643,163.766953
